source,within_suff_median,cross_suff_median_mean,cross_over_within_suff,within_delta_median,cross_delta_median_mean,cross_over_within_delta
cluster_0,1.0,0.9852576433097676,0.9852576433097676,0.6428571428571429,0.6401830872636817,0.995840357965727
cluster_6,0.9166666666666666,0.9073553632420818,0.9898422144459075,0.5588235294117647,0.596406048728269,1.067252929303218
cluster_12,0.9505543901708121,0.9216898826307739,0.9696340284801048,0.7065727699530517,0.5624367623874117,0.79600684643534
cluster_8,0.9620253164556962,0.9113988374042116,0.9473751073017462,0.5663716814159292,0.5297289803029356,0.9353027308473707
cluster_2,0.9285714285714286,0.9874079744466623,1.0633624340194825,0.6818181818181818,0.6705502657183647,0.9834737230536017
cluster_1,0.9398893360160966,0.9016391193335913,0.9593034890207008,0.5363556078893141,0.5557344740697651,1.0361306303046058
cluster_10,0.9338797814207651,0.9703916709886861,1.0390969911698626,0.4363067807768269,0.5846551779935634,1.3400093781549947
