source,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_10,cluster_1,8,14,0.9701492537313433,0.9832118838972995,0.9746801705756929,0.9555827857978796,0.3974314474140923,0.6266149870801034,0.6467112920744857,1.0388374103735272,1.4361798044129417
cluster_10,cluster_10,8,14,0.9338797814207651,0.9739815329289909,0.9649084568439408,0.9752684209396456,0.5215780296425457,0.4363067807768269,0.5750147486322601,1.0,1.0
cluster_10,all_valid,139,14,0.9722222222222222,0.9729350266606662,0.975609756097561,0.9663071825863401,0.3888888888888889,0.6086956521739131,0.6166941479464555,1.041057148429881,1.395109310678497
global_core,cluster_0,57,8,0.8888888888888888,0.8936736138704131,0.9512195121951219,0.9739431182846373,0.1746031746031746,0.7272727272727273,0.737641870797601,nan,nan
global_core,cluster_6,15,8,0.9130434782608695,0.959525250906658,0.8813559322033898,0.8639343377200125,0.24,0.6774193548387096,0.6449997775174195,nan,nan
global_core,cluster_12,12,8,0.9268461374760588,0.9353110288439018,0.9245524296675192,0.9124582254420176,0.23796192609182532,0.6983348201011002,0.6942928564335209,nan,nan
global_core,cluster_8,11,8,0.94,0.9486258799364365,0.8793103448275862,0.9116677564345642,0.21518987341772153,0.7575757575757576,0.7131503619915458,nan,nan
global_core,cluster_2,9,8,0.8484848484848485,0.8529095998384508,0.9464285714285714,0.9533221464686503,0.22641509433962265,0.6363636363636364,0.6682139377974415,nan,nan
global_core,cluster_1,8,8,0.9239185110663983,0.9386399418696731,0.9001865671641791,0.9349656936160508,0.020833333333333332,0.9470827679782904,0.868971393232597,nan,nan
global_core,cluster_10,8,8,0.8439189189189189,0.888268789554485,0.8772885789014822,0.9008927290330743,0.24253285543608122,0.6502389486260454,0.6657419875284574,nan,nan
global_core,all_valid,139,8,0.9107142857142857,0.9217866560681942,0.9322033898305084,0.9375319640979692,0.2127659574468085,0.711864406779661,0.7185925385173721,nan,nan
