source,source_build_mode,source_cluster_id,source_cluster_size,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_0,compact_support,0,57,cluster_0,57,4,0.7954545454545454,0.8036315058434209,0.8717948717948718,0.8871697953797432,0.06666666666666667,0.7636363636363637,0.7493877439728708,1.0,1.0
cluster_0,compact_support,0,57,cluster_6,15,4,0.8153846153846154,0.8789709141849728,0.7627118644067796,0.7918770580619281,0.11764705882352941,0.7681159420289856,0.7894960344245485,1.025054945054945,1.0058661145617669
cluster_0,compact_support,0,57,cluster_12,12,4,0.865304071033674,0.8509137232682643,0.8090964098426785,0.8018162989451781,0.01288161348252521,0.9030851777330651,0.8399411803865445,1.087810832156619,1.1826115422694898
cluster_0,compact_support,0,57,cluster_8,11,4,0.8571428571428571,0.8603904083246788,0.7857142857142857,0.8023002027737957,0.07692307692307693,0.726027397260274,0.6796133171105226,1.0775510204081633,0.9507501630789302
cluster_0,compact_support,0,57,cluster_2,9,4,0.7358490566037735,0.7459633842001386,0.8245614035087719,0.822884526504773,0.09523809523809523,0.5818181818181818,0.6357061339376311,0.9250673854447439,0.7619047619047619
cluster_0,compact_support,0,57,cluster_10,8,4,0.7520491803278688,0.7803579022605236,0.731691368788143,0.7682817531707009,0.036642411642411644,0.6455301455301454,0.711297190669405,0.9454332552693209,0.8453370953370951
cluster_0,compact_support,0,57,cluster_1,8,4,0.8581488933601609,0.8650001756701196,0.8003731343283582,0.8584770252442293,0.1905638665132336,0.5903904439293992,0.6787994321518471,1.0788157516527737,0.7731303432408799
cluster_0,compact_support,0,57,all_valid,139,4,0.8194444444444444,0.8362703332844469,0.8275862068965517,0.8442421551462944,0.08333333333333333,0.7636363636363637,0.7466991306848676,1.0301587301587303,1.0
cluster_6,compact_support,6,15,cluster_0,57,4,0.8260869565217391,0.8331796347446151,0.9230769230769231,0.9612203811876888,0.10638297872340426,0.7105263157894737,0.7185641531470667,0.9344262295081966,1.0213815789473684
cluster_6,compact_support,6,15,cluster_6,15,4,0.8840579710144928,0.9889855619842965,0.8813559322033898,0.9818101535250219,0.17391304347826086,0.6956521739130436,0.7505953782354162,1.0,1.0
cluster_6,compact_support,6,15,cluster_12,12,4,0.9345238095238095,0.9064188827588261,0.8949530516431925,0.9185630850158208,0.18927304964539007,0.705518018018018,0.690583870140245,1.0570843091334894,1.0141821509009006
cluster_6,compact_support,6,15,cluster_8,11,4,0.9203539823008849,0.9312742141455658,0.9,0.9375748904033057,0.125,0.78,0.7835208823576323,1.0410561439141157,1.1212499999999999
cluster_6,compact_support,6,15,cluster_2,9,4,0.6981132075471698,0.7167205098363459,0.7727272727272727,0.8062496949669098,0.17543859649122806,0.5471698113207547,0.5405539312411792,0.7896690380451592,0.7865566037735848
cluster_6,compact_support,6,15,cluster_10,8,4,0.6941256830601092,0.7669968810219623,0.7340136054421769,0.7507899960136116,0.16960838389409819,0.5423596673596673,0.6420365658032803,0.7851585595270087,0.7796420218295217
cluster_6,compact_support,6,15,cluster_1,8,4,0.9005290005667863,0.9211363185067074,0.9567786069651741,1.0082822336102715,0.1532622739018088,0.8600813743218807,0.7874687905336861,1.018631164575545,1.2363669755877034
cluster_6,compact_support,6,15,all_valid,139,4,0.8571428571428571,0.8898106323539188,0.9183673469387755,0.9524778316763725,0.13513513513513514,0.7183098591549295,0.7450507423114141,0.9695550351288055,1.032570422535211
cluster_12,compact_support,12,12,cluster_0,57,4,0.75,0.7476687537862535,0.7846153846153846,0.7859365272341904,0.03389830508474576,0.7121212121212122,0.6948563867787436,0.932799442896936,0.995018679950187
cluster_12,compact_support,12,12,cluster_6,15,4,0.7846153846153846,0.8196148964466515,0.68,0.6737812688326794,0.1694915254237288,0.6176470588235294,0.6254779066190721,0.9758517248767945,0.8630136986301371
cluster_12,compact_support,12,12,cluster_12,12,4,0.8040313549832027,0.8068496071865715,0.7603056970819824,0.732377930100322,0.18210922787193973,0.7156862745098038,0.6533660072261496,1.0,1.0
cluster_12,compact_support,12,12,cluster_8,11,4,0.8035714285714286,0.825255895031889,0.7142857142857143,0.7319768059073639,0.11392405063291139,0.7123287671232876,0.6888342858969705,0.9994279745324314,0.9953086883092513
