q_index,cluster_id,cluster_size,weight
1,0,100,1.0
2,0,100,1.0
3,0,100,1.0
6,0,100,1.0
9,0,100,1.0
10,0,100,0.9583333333333334
11,0,100,0.8946745562130178
12,0,100,0.0
13,0,100,1.0
14,0,100,1.0
15,0,100,0.9818181818181818
16,0,100,1.0
18,0,100,1.0
20,0,100,1.0
21,0,100,0.9234272221285208
22,0,100,0.9165912177455863
23,0,100,0.7696793002915452
24,0,100,0.0
25,0,100,0.9821428571428571
26,0,100,1.0
27,0,100,0.9836065573770492
28,0,100,1.0
29,0,100,0.0
30,0,100,0.9803921568627451
31,0,100,1.0
32,0,100,0.8252330886728824
34,0,100,0.0
35,0,100,0.0
36,0,100,0.9652200677131424
37,0,100,0.8555555555555555
38,0,100,0.98
39,0,100,0.8543965824136703
40,0,100,0.0
41,0,100,1.0
44,0,100,0.9712245326612057
45,0,100,0.0
46,0,100,0.9838709677419355
48,0,100,0.8532031025567365
49,0,100,1.0
50,0,100,1.0
51,0,100,0.0
52,0,100,0.0
53,0,100,1.0
54,0,100,0.9335281227173119
55,0,100,0.9811320754716981
56,0,100,0.9267097349075518
57,0,100,1.0
58,0,100,0.9807692307692307
59,0,100,1.0
60,0,100,1.0
61,0,100,1.0
62,0,100,1.0
66,0,100,0.0
69,0,100,0.0
70,0,100,0.9705882352941176
76,0,100,1.0
78,0,100,0.8137996219281662
79,0,100,0.0
80,0,100,0.0
83,0,100,0.9534883720930233
84,0,100,1.0
86,0,100,0.0
87,0,100,0.9329803719008265
89,0,100,1.0
90,0,100,0.89413988657845
92,0,100,1.0
93,0,100,0.0
95,0,100,0.7420118343195267
99,0,100,0.0
103,0,100,0.9846153846153847
105,0,100,0.926954732510288
106,0,100,1.0
109,0,100,1.0
110,0,100,0.0
111,0,100,0.8304758852747958
113,0,100,0.9023999999999999
114,0,100,0.0
115,0,100,1.0
116,0,100,0.0
122,0,100,0.9070294784580498
125,0,100,0.0
127,0,100,0.0
128,0,100,0.0
129,0,100,0.9846153846153847
132,0,100,0.0
134,0,100,0.9777777777777777
139,0,100,0.9512195121951219
140,0,100,1.0
144,0,100,0.9194436979306638
146,0,100,0.9743589743589743
147,0,100,0.9859154929577465
151,0,100,0.9795918367346939
152,0,100,0.8517011834319527
154,0,100,0.0
156,0,100,1.0
160,0,100,0.0
161,0,100,0.8373964497041421
162,0,100,0.9751562500000001
163,0,100,1.0
164,0,100,0.9459560893225746
7,1,19,0.9603999999999999
8,1,19,1.0
19,1,19,0.8402203856749311
63,1,19,0.9523809523809523
71,1,19,0.8892805640121775
72,1,19,0.9636363636363636
73,1,19,0.8489042675893888
81,1,19,0.8035077288941737
88,1,19,1.0
98,1,19,0.8456632653061225
112,1,19,0.853869572183945
123,1,19,0.8728836334318731
124,1,19,0.9256198347107438
130,1,19,0.5119113573407202
141,1,19,0.9267097349075518
148,1,19,0.9534883720930233
155,1,19,1.0
157,1,19,1.0
158,1,19,0.9122298952996214
47,2,1,1.0
42,3,3,0.6862745098039216
64,3,3,1.0
135,3,3,1.0
94,4,1,1.0
4,5,39,0.9053254437869822
5,5,39,0.864114263043047
17,5,39,0.9497270899166906
33,5,39,0.9836065573770492
43,5,39,0.8204158790170132
65,5,39,0.9830508474576272
67,5,39,0.7187565637471119
68,5,39,0.9666666666666667
74,5,39,0.9859154929577465
75,5,39,0.8418522672648614
77,5,39,0.759167043911272
82,5,39,0.9084201388888888
85,5,39,0.9376702451530203
91,5,39,0.7555029585798817
96,5,39,0.9070294784580498
97,5,39,0.7985513807152557
100,5,39,1.0
101,5,39,0.9057918420670634
102,5,39,0.8667617335234671
104,5,39,0.9205624543462381
107,5,39,0.774
108,5,39,1.0
117,5,39,0.806952025280092
118,5,39,0.9591836734693877
119,5,39,0.888470841171728
121,5,39,0.9911504424778761
126,5,39,0.9470663265306122
131,5,39,0.8579881656804734
133,5,39,1.0
136,5,39,0.9444444444444444
137,5,39,0.9298245614035088
138,5,39,0.7511111111111112
142,5,39,0.8204158790170132
143,5,39,0.8984375
145,5,39,1.0
149,5,39,0.9811320754716981
150,5,39,0.9050925925925926
153,5,39,0.8841612831365561
159,5,39,1.0
120,6,1,1.0
