node,node_role,n_samples,node_suff_median,node_suff_ci_lo,node_suff_ci_hi,node_nec_median,node_nec_ci_lo,node_nec_ci_hi,minus_node_suff_median,minus_node_nec_median,drop_full_suff_median,drop_full_suff_ci_lo,drop_full_suff_ci_hi,drop_full_nec_median,drop_full_nec_ci_lo,drop_full_nec_ci_hi,rank_drop_full_nec,rank_node_suff
MLP11,Aux MLP,139,0.1,0.07894736842105263,0.13114754098360656,0.10909090909090909,0.09836065573770492,0.1323529411764706,0.8977272727272727,0.9111111111111111,0.015151515151515138,0.008403361344537896,0.0185185185185186,0.015151515151515138,0.0,0.0185185185185186,6,10
L17H8,Format Router / Target+Suppressor,139,0.379746835443038,0.3698630136986301,0.391304347826087,0.29508196721311475,0.2835820895522388,0.3050847457627119,0.8727272727272727,0.8846153846153846,0.03571428571428581,0.027027027027027084,0.040000000000000036,0.040000000000000036,0.03658536585365857,0.04477611940298509,2,3
MLP20,Aux MLP,139,0.11475409836065574,0.10416666666666667,0.12962962962962962,0.057971014492753624,0.04838709677419355,0.07142857142857142,0.9459459459459459,0.9594594594594594,-0.032786885245901676,-0.04255319148936165,-0.025000000000000133,-0.03703703703703698,-0.04255319148936165,-0.027027027027026973,10,9
L20H5,Query Reader / Distractor Suppressor,139,0.2878787878787879,0.27941176470588236,0.30434782608695654,0.19402985074626866,0.18518518518518517,0.20168067226890757,0.8888888888888888,0.9038461538461539,0.01754385964912275,0.014084507042253502,0.019230769230769273,0.018181818181818188,0.014925373134328401,0.020000000000000018,5,7
L21H1,Format Router / Target+Suppressor,139,0.48148148148148145,0.46551724137931033,0.5,0.234375,0.2236842105263158,0.2459016393442623,0.8767123287671232,0.8902439024390244,0.02941176470588236,0.025316455696202556,0.032786885245901676,0.036363636363636376,0.02941176470588236,0.04081632653061218,3,2
L21H12,Format Router / Target+Suppressor,139,0.48484848484848486,0.4634146341463415,0.5,0.23684210526315788,0.22448979591836735,0.2535211267605634,0.8518518518518519,0.8360655737704918,0.05660377358490565,0.05263157894736836,0.06153846153846154,0.08333333333333337,0.07936507936507942,0.09090909090909094,1,1
MLP22,Support Suppressor MLP,139,0.21818181818181817,0.2,0.23214285714285715,0.0821917808219178,0.07407407407407407,0.09836065573770492,0.9210526315789473,0.9473684210526315,0.0,-0.014705882352941235,0.0,-0.020408163265306034,-0.03076923076923077,-0.014705882352941124,8,8
L23H6,Format Router / Distractor Suppressor,139,0.3025210084033613,0.2962962962962963,0.3125,0.1506849315068493,0.14705882352941177,0.15942028985507245,0.8860759493670886,0.9,0.020408163265306145,0.01851851851851849,0.022471910112359605,0.022222222222222143,0.020202020202020332,0.025316455696202556,4,6
L24H6,Tool-Tag Reader / Distractor Suppressor,139,0.36619718309859156,0.3275862068965517,0.39344262295081966,0.25,0.23404255319148937,0.2711864406779661,0.9078947368421053,0.9117647058823529,0.0,0.0,0.0,0.0,0.0,0.014705882352941124,7,5
MLP27,Primary Writer MLP,139,0.3793103448275862,0.358974358974359,0.3939393939393939,0.30357142857142855,0.2962962962962963,0.3111111111111111,0.8987341772151899,0.9459459459459459,0.0,-0.014705882352941124,0.01449275362318836,-0.022727272727272707,-0.032786885245901565,-0.008264462809917328,9,4
