mode,grouping,n_nodes,n_samples,suff_median,nec_median,drop_full_suff_median,drop_full_nec_median
orig,static_orig_strata,4,139,0.8888888888888888,0.9583333333333334,0.2040816326530612,0.2666666666666667
orig,systemaware_strata,3,139,0.8363636363636363,0.8709677419354839,0.15625,0.1999999999999999
orig,useraware_strata,2,139,0.52,0.40625,0.03125,0.0168067226890756
system_json_pad,static_orig_strata,4,139,0.8837209302325582,0.8909090909090909,0.1714285714285713,0.2083333333333333
system_json_pad,systemaware_strata,3,139,0.8484848484848485,0.8363636363636363,0.1454545454545454,0.1739130434782609
user_json_pad,static_orig_strata,4,139,0.8529411764705882,0.9508196721311476,0.0958904109589041,0.0961538461538461
user_json_pad,useraware_strata,2,139,0.6028368794326241,0.5106382978723404,0.1195652173913043,0.1344537815126051
user_pad_short,static_orig_strata,4,119,0.7222222222222222,0.7352941176470589,0.2380952380952381,0.273972602739726
