source_a,source_b,source_a_nodes,source_b_nodes,intersection,union,jaccard
cluster_2,cluster_2,4,4,4,4,1.0
cluster_2,cluster_10,4,4,4,4,1.0
cluster_2,cluster_0,4,4,4,4,1.0
cluster_2,cluster_1,4,4,4,4,1.0
cluster_2,global_core,4,10,4,10,0.4
cluster_10,cluster_10,4,4,4,4,1.0
cluster_10,cluster_0,4,4,4,4,1.0
cluster_10,cluster_1,4,4,4,4,1.0
cluster_10,global_core,4,10,4,10,0.4
cluster_0,cluster_0,4,4,4,4,1.0
cluster_0,cluster_1,4,4,4,4,1.0
cluster_0,global_core,4,10,4,10,0.4
cluster_1,cluster_1,4,4,4,4,1.0
cluster_1,global_core,4,10,4,10,0.4
global_core,global_core,10,10,10,10,1.0
