source,target,n_samples,source_nodes,target_nodes,source_target_jaccard,suff_median,delta_vs_random_median,suff_vs_within_ratio,delta_vs_within_ratio
cluster_2,cluster_10,11,4,4,1.0,0.8297872340425532,0.7333333333333333,0.9538939956657294,0.9578947368421052
cluster_2,cluster_0,10,4,4,1.0,0.8108798114689709,0.7627969220475075,0.9321586927753864,0.9963806685118161
cluster_2,cluster_1,8,4,4,1.0,0.7769230769230769,0.5954545454545455,0.8931232342061574,0.7777946933449327
cluster_10,cluster_2,12,4,4,1.0,0.8698945981554678,0.6540423861852432,1.0483345157258201,0.9743896773780154
cluster_10,cluster_0,10,4,4,1.0,0.8108798114689709,0.7710384248967926,0.9772141317702984,1.1486898983156297
cluster_10,cluster_1,8,4,4,1.0,0.7769230769230769,0.7977272727272727,0.9362919132149902,1.1884508348794063
cluster_0,cluster_2,12,4,4,1.0,0.8698945981554678,0.9105180533751962,1.0727787100527106,1.351418261039252
cluster_0,cluster_10,11,4,4,1.0,0.8297872340425532,0.6986301369863013,1.023317170197307,1.036927847103972
cluster_0,cluster_1,8,4,4,1.0,0.7769230769230769,0.6867924528301886,0.9581235911097864,1.0193580004900757
cluster_1,cluster_2,12,4,4,1.0,0.8698945981554678,0.8069205569205569,1.1196663144575327,1.1679113323850165
cluster_1,cluster_10,11,4,4,1.0,0.8297872340425532,0.7142857142857143,1.068042974510217,1.0338345864661653
cluster_1,cluster_0,10,4,4,1.0,0.8108798114689709,0.8305970149253732,1.0437066880293684,1.2021798900235665
