group,n_samples,n_nodes,suff_median,suff_ci_lo,suff_ci_hi,nec_median,nec_ci_lo,nec_ci_hi,drop_full_suff_median,drop_full_suff_ci_lo,drop_full_suff_ci_hi,drop_full_nec_median,drop_full_nec_ci_lo,drop_full_nec_ci_hi
full_core,139,12,0.9661016949152542,0.9591836734693877,0.9726027397260274,0.9787234042553191,0.972972972972973,0.9824561403508771,0.0,0.0,0.0,0.0,0.0,0.0
tool_tag_reader,139,1,0.36619718309859156,0.32894736842105265,0.39344262295081966,0.25,0.22950819672131148,0.2711864406779661,0.0,0.0,0.0,0.0,0.0,0.0
query_reader,139,1,0.2878787878787879,0.28,0.30357142857142855,0.19402985074626866,0.18518518518518517,0.203125,0.012987012987012991,0.0,0.015625,0.024691358024691357,0.021052631578947434,0.02898550724637683
format_router,139,4,0.8902439024390244,0.8679245283018868,0.9041095890410958,0.9620253164556962,0.9215686274509803,1.0144927536231885,0.13888888888888895,0.1351351351351351,0.1454545454545454,0.18644067796610164,0.17999999999999994,0.196078431372549
primary_writer_mlp,139,1,0.3793103448275862,0.36065573770491804,0.3939393939393939,0.30357142857142855,0.2962962962962963,0.3111111111111111,-0.025316455696202556,-0.032786885245901676,-0.018181818181818188,-0.0350877192982455,-0.04040404040404044,-0.022222222222222143
support_mlp,139,1,0.21818181818181817,0.2,0.23376623376623376,0.0821917808219178,0.07407407407407407,0.09836065573770492,0.0,0.0,0.0,0.0,0.0,0.013157894736842035
aux_mlp,139,4,0.4186046511627907,0.390625,0.43137254901960786,0.28484848484848485,0.25806451612903225,0.3,0.05405405405405406,0.048387096774193616,0.06451612903225812,0.04651162790697683,0.04081632653061218,0.05555555555555547
all_heads,139,6,0.9777777777777777,0.9473684210526315,0.9878048780487805,1.0505050505050506,1.0178571428571428,1.069767441860465,0.2272727272727273,0.22033898305084754,0.23913043478260876,0.33333333333333337,0.3278688524590164,0.34426229508196715
all_mlps,139,6,0.7407407407407407,0.7222222222222222,0.75,0.6440677966101694,0.625,0.6511627906976745,0.0,-0.024390243902439046,0.0,-0.06329113924050644,-0.08000000000000007,-0.0491803278688524
