q_index,group,n_nodes,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,delta_full_suff_drop,delta_full_nec_drop,gap
1,full_core,12,0.9736842105263158,1.0789473684210527,nan,nan,0.0,0.0,4.75
1,tool_tag_reader,1,0.23684210526315788,0.23684210526315788,0.9736842105263158,1.131578947368421,0.0,-0.05263157894736836,4.75
1,query_reader,1,0.23684210526315788,0.3157894736842105,0.9736842105263158,1.0526315789473684,0.0,0.026315789473684292,4.75
1,format_router,4,0.9736842105263158,1.394736842105263,0.8157894736842105,0.8947368421052632,0.1578947368421053,0.1842105263157895,4.75
1,primary_writer_mlp,1,0.34210526315789475,0.34210526315789475,0.9473684210526315,1.131578947368421,0.026315789473684292,-0.05263157894736836,4.75
1,support_mlp,1,0.07894736842105263,0.13157894736842105,1.0263157894736843,1.131578947368421,-0.052631578947368474,-0.05263157894736836,4.75
1,aux_mlp,4,0.39473684210526316,0.5789473684210527,0.9473684210526315,1.0,0.026315789473684292,0.07894736842105265,4.75
1,all_heads,6,1.0789473684210527,1.263157894736842,0.7105263157894737,0.8157894736842105,0.26315789473684215,0.26315789473684215,4.75
1,all_mlps,6,0.7105263157894737,0.8157894736842105,1.0789473684210527,1.263157894736842,-0.10526315789473684,-0.18421052631578938,4.75
2,full_core,12,0.9836065573770492,1.0163934426229508,nan,nan,0.0,0.0,7.625
2,tool_tag_reader,1,0.36065573770491804,0.2459016393442623,0.9672131147540983,1.0163934426229508,0.016393442622950838,0.0,7.625
2,query_reader,1,0.19672131147540983,0.11475409836065574,0.9672131147540983,0.9836065573770492,0.016393442622950838,0.032786885245901676,7.625
2,format_router,4,0.9344262295081968,1.0491803278688525,0.8524590163934426,0.7868852459016393,0.1311475409836066,0.2295081967213115,7.625
2,primary_writer_mlp,1,0.4098360655737705,0.32786885245901637,1.0,1.0327868852459017,-0.016393442622950838,-0.016393442622950838,7.625
2,support_mlp,1,0.18032786885245902,0.06557377049180328,0.9836065573770492,1.0163934426229508,0.0,0.0,7.625
2,aux_mlp,4,0.5245901639344263,0.2786885245901639,0.9344262295081968,0.9672131147540983,0.0491803278688524,0.049180327868852514,7.625
2,all_heads,6,1.0,1.098360655737705,0.7704918032786885,0.6557377049180327,0.21311475409836067,0.3606557377049181,7.625
2,all_mlps,6,0.7704918032786885,0.6557377049180327,1.0,1.098360655737705,-0.016393442622950838,-0.08196721311475419,7.625
3,full_core,12,0.9230769230769231,0.9423076923076923,nan,nan,0.0,0.0,6.5
3,tool_tag_reader,1,0.4230769230769231,0.3076923076923077,0.9038461538461539,0.9423076923076923,0.019230769230769273,0.0,6.5
3,query_reader,1,0.3269230769230769,0.25,0.9038461538461539,0.9230769230769231,0.019230769230769273,0.019230769230769162,6.5
3,format_router,4,0.9615384615384616,1.0384615384615385,0.75,0.7307692307692307,0.17307692307692313,0.21153846153846156,6.5
