split_id,seed,n_train,n_test,core_size,jaccard_vs_full_core,test_suff_median,test_nec_median,test_min_median,test_harmonic_median,test_rand_suff_mean_median,test_global_minus_random_median
0,321,96,43,8,0.8,0.8983050847457628,0.9245283018867925,0.8974358974358975,0.9125506072874493,0.14689265536723164,0.7514124293785311
1,1321,96,43,8,0.8,0.8958333333333334,0.9245283018867925,0.8958333333333334,0.9125506072874493,0.13333333333333333,0.7625000000000001
2,2321,96,43,8,0.8,0.9074074074074074,0.9230769230769231,0.9047619047619048,0.9165482954545454,0.0900900900900901,0.8173173173173174
3,3321,96,43,8,0.8,0.9014084507042254,0.9090909090909091,0.8983050847457628,0.9076923076923076,0.12206572769953052,0.7793427230046949
