split_id,subset,q_index,gap,suff_ratio,nec_ratio,min_ratio,harmonic_ratio,rand_suff_mean,rand_suff_median,rand_suff_n,n_patch_nodes
0,test,5,8.875,0.9436619718309859,0.9577464788732394,0.9436619718309859,0.9506520605112154,0.3070422535211268,0.323943661971831,5,9
0,test,14,4.5,1.0833333333333333,1.1111111111111112,1.0833333333333333,1.0970464135021096,0.06666666666666668,0.027777777777777776,5,9
0,test,18,5.25,1.0,1.0238095238095237,1.0,1.011764705882353,0.004761904761904756,0.0,5,9
0,test,20,5.125,1.048780487804878,1.048780487804878,1.048780487804878,1.048780487804878,0.2682926829268293,0.17073170731707318,5,9
0,test,22,11.75,0.925531914893617,0.8936170212765957,0.8936170212765957,0.9092945128779395,0.06489361702127658,0.14893617021276595,5,9
0,test,27,7.625,0.9836065573770492,0.9508196721311475,0.9508196721311475,0.9669352597943873,0.2262295081967213,0.21311475409836064,5,9
0,test,30,6.375,0.9411764705882353,0.9607843137254902,0.9411764705882353,0.9508793208004852,0.14901960784313725,0.23529411764705882,5,9
0,test,36,7.125,0.8771929824561403,0.8947368421052632,0.8771929824561403,0.8858780614903595,0.17192982456140352,0.21052631578947367,5,9
0,test,42,6.375,0.9607843137254902,0.9019607843137255,0.9019607843137255,0.9304437564499484,0.2156862745098039,0.19607843137254902,5,9
0,test,44,8.625,0.9855072463768116,1.0,0.9855072463768116,0.9927007299270074,0.28115942028985513,0.2753623188405797,5,9
0,test,46,7.75,0.9193548387096774,0.9354838709677419,0.9193548387096774,0.9273492286115007,0.06451612903225805,0.04838709677419355,5,9
0,test,53,5.875,0.9148936170212766,0.9574468085106383,0.9148936170212766,0.9356866537717602,0.09361702127659574,0.10638297872340426,5,9
0,test,63,5.25,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.2523809523809524,0.2857142857142857,5,9
0,test,65,7.375,0.9661016949152542,1.0338983050847457,0.9661016949152542,0.9988509049123814,0.07796610169491525,0.15254237288135594,5,9
0,test,67,8.625,0.8840579710144928,0.9130434782608695,0.8840579710144928,0.8983169705469846,-0.011594202898550723,0.0,5,9
0,test,73,6.375,0.9019607843137255,0.8627450980392157,0.8627450980392157,0.881917211328976,0.01960784313725492,0.11764705882352941,5,9
0,test,74,8.875,0.9154929577464789,0.9577464788732394,0.9154929577464789,0.9361431748385046,0.18028169014084505,0.16901408450704225,5,9
0,test,81,7.25,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.0896551724137931,0.1206896551724138,5,9
0,test,82,12.0,0.9270833333333334,0.9166666666666666,0.9166666666666666,0.9218455743879472,0.28958333333333336,0.3125,5,9
0,test,84,5.0,1.15,1.2,1.15,1.1744680851063831,-0.020000000000000007,0.0,5,9
0,test,88,3.625,1.0344827586206897,1.2758620689655173,1.0344827586206897,1.1425630468347916,-0.3448275862068965,-0.13793103448275862,5,9
0,test,89,8.625,0.9855072463768116,1.0434782608695652,0.9855072463768116,1.013664596273292,0.13043478260869565,0.11594202898550725,5,9
0,test,90,5.75,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.01739130434782608,0.021739130434782608,5,9
0,test,92,3.25,1.2692307692307692,1.3076923076923077,1.2692307692307692,1.2881745120551091,-0.061538461538461556,-0.15384615384615385,5,9
0,test,97,5.875,0.9361702127659575,0.8936170212765957,0.8936170212765957,0.9143988124690746,0.2,0.1702127659574468,5,9
0,test,98,7.0,0.875,0.9285714285714286,0.875,0.900990099009901,0.04642857142857143,0.017857142857142856,5,9
0,test,101,10.375,0.9156626506024096,0.963855421686747,0.9156626506024096,0.9391411801050356,0.08433734939759037,0.13253012048192772,5,9
0,test,102,15.875,0.952755905511811,0.937007874015748,0.937007874015748,0.9448162729658792,0.09763779527559055,0.12598425196850394,5,9
0,test,106,8.25,0.9696969696969697,0.9545454545454546,0.9545454545454546,0.9620615604867573,0.11818181818181817,0.15151515151515152,5,9
0,test,107,6.25,0.86,0.98,0.86,0.9160869565217392,0.192,0.16,5,9
0,test,109,3.625,1.206896551724138,1.3103448275862069,1.206896551724138,1.2564950401511572,0.18620689655172412,0.20689655172413793,5,9
0,test,120,2.25,1.1666666666666667,1.1111111111111112,1.1111111111111112,1.1382113821138213,0.16666666666666666,0.16666666666666666,5,9
0,test,122,7.875,0.9047619047619048,0.9206349206349206,0.9047619047619048,0.9126293995859213,0.16825396825396827,0.1746031746031746,5,9
0,test,123,7.625,0.9672131147540983,1.0,0.9672131147540983,0.9833333333333333,0.06885245901639345,0.13114754098360656,5,9
0,test,131,9.75,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.06410256410256411,0.02564102564102564,5,9
0,test,133,4.625,0.9459459459459459,0.918918918918919,0.918918918918919,0.9322365844104974,-0.13513513513513514,-0.21621621621621623,5,9
