group,n_samples,n_nodes,suff_median,suff_ci_lo,suff_ci_hi,nec_median,nec_ci_lo,nec_ci_hi,drop_full_suff_median,drop_full_suff_ci_lo,drop_full_suff_ci_hi,drop_full_nec_median,drop_full_nec_ci_lo,drop_full_nec_ci_hi
full_core,139,10,0.9069767441860465,0.8955223880597015,0.9178082191780822,0.9243697478991597,0.9117647058823529,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
contextual_supporter,139,4,0.7021276595744681,0.6851851851851852,0.71875,0.65625,0.631578947368421,0.68,0.05633802816901412,0.04651162790697683,0.06666666666666665,0.06666666666666665,0.0535714285714286,0.0821917808219178
essential_backbone,139,3,0.8444444444444444,0.8148148148148148,0.8676470588235294,0.8771929824561403,0.8481012658227848,0.9444444444444444,0.15999999999999992,0.15254237288135597,0.16393442622950816,0.203125,0.19512195121951226,0.21153846153846156
redundant_or_interfering,139,3,0.5357142857142857,0.52,0.5573770491803278,0.4262295081967213,0.4117647058823529,0.4375,-0.08955223880597019,-0.10169491525423724,-0.07499999999999996,-0.12121212121212133,-0.13157894736842113,-0.09999999999999987
all_heads,139,6,0.9777777777777777,0.9473684210526315,0.9878048780487805,1.0505050505050506,1.0185185185185186,1.0655737704918034,0.339622641509434,0.3278688524590163,0.3513513513513514,0.43999999999999995,0.4285714285714286,0.4464285714285714
all_mlps,139,4,0.5652173913043478,0.5483870967741935,0.578125,0.4807692307692308,0.4727272727272727,0.49056603773584906,-0.060975609756097504,-0.07462686567164178,-0.05128205128205132,-0.1272727272727272,-0.13559322033898302,-0.10126582278481022
