core_node_th,core_edge_th,n_runs,core_size_median_mean,core_size_median_std,core_pairwise_jaccard_mean,core_pairwise_jaccard_std,test_suff_median_mean,test_suff_median_std,test_nec_median_mean,test_nec_median_std,test_delta_vs_random_mean,test_delta_vs_random_std,score_mean,score_std
0.4,0.25,3,12.0,0.0,0.8864468864468864,0.007373823081470297,0.9516488298685685,0.0028647929470094076,0.964465909592688,0.0021912355106853227,0.8173965718771576,0.0019511635151992495,2.253511311338414,0.006979013383775221
0.45,0.3,3,11.0,0.0,0.9199134199134199,1.3597399555105182e-16,0.9347044495401878,0.0016906227866733642,0.9602518002003994,0.0017625530574882074,0.8188488437325588,0.002745965127244981,2.2738050934731464,0.0058666134282779675
0.5,0.35,3,10.166666666666666,0.5773502691896258,0.8729437229437229,0.015456500658451442,0.9297805949329616,0.0028747746218603923,0.9531750723871678,0.002512223822725016,0.8114399212759137,0.005671985067434943,2.2877289219293764,0.032426366308461976
0.55,0.4,3,8.0,0.0,0.9484126984126985,0.006873217490352776,0.9155740330971236,0.0027919218357499074,0.9385396386884407,0.0010121894125527601,0.8129572280742589,0.0011447740021310574,2.347070899859823,0.00266660295326156
