q_index,group,n_nodes,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,delta_full_suff_drop,delta_full_nec_drop,gap
1,full_core,10,0.9210526315789473,1.0263157894736843,nan,nan,0.0,0.0,4.75
1,tool_tag_reader,1,0.23684210526315788,0.23684210526315788,0.9210526315789473,1.0789473684210527,0.0,-0.05263157894736836,4.75
1,query_reader,1,0.23684210526315788,0.3157894736842105,0.9210526315789473,0.9736842105263158,0.0,0.052631578947368474,4.75
1,format_router,4,0.9736842105263158,1.394736842105263,0.6578947368421053,0.7894736842105263,0.26315789473684204,0.23684210526315796,4.75
1,primary_writer_mlp,1,0.34210526315789475,0.34210526315789475,0.868421052631579,1.0263157894736843,0.05263157894736836,0.0,4.75
1,support_mlp,1,0.07894736842105263,0.13157894736842105,0.9736842105263158,1.1578947368421053,-0.052631578947368474,-0.13157894736842102,4.75
1,aux_mlp,2,0.10526315789473684,0.4473684210526316,0.9473684210526315,1.0,-0.02631578947368418,0.026315789473684292,4.75
1,all_heads,6,1.0789473684210527,1.263157894736842,0.5,0.6578947368421053,0.42105263157894735,0.368421052631579,4.75
1,all_mlps,4,0.5,0.6578947368421053,1.0789473684210527,1.263157894736842,-0.1578947368421053,-0.23684210526315774,4.75
2,full_core,10,0.9180327868852459,0.9508196721311475,nan,nan,0.0,0.0,7.625
2,tool_tag_reader,1,0.36065573770491804,0.2459016393442623,0.9180327868852459,0.9180327868852459,0.0,0.032786885245901565,7.625
2,query_reader,1,0.19672131147540983,0.11475409836065574,0.9180327868852459,0.9180327868852459,0.0,0.032786885245901565,7.625
2,format_router,4,0.9344262295081968,1.0491803278688525,0.6721311475409836,0.6065573770491803,0.24590163934426235,0.34426229508196715,7.625
2,primary_writer_mlp,1,0.4098360655737705,0.32786885245901637,0.9180327868852459,0.9344262295081968,0.0,0.016393442622950727,7.625
2,support_mlp,1,0.18032786885245902,0.06557377049180328,0.9344262295081968,0.9672131147540983,-0.016393442622950838,-0.016393442622950838,7.625
2,aux_mlp,2,0.13114754098360656,0.06557377049180328,0.9344262295081968,0.9672131147540983,-0.016393442622950838,-0.016393442622950838,7.625
2,all_heads,6,1.0,1.098360655737705,0.5573770491803278,0.4262295081967213,0.3606557377049181,0.5245901639344261,7.625
2,all_mlps,4,0.5573770491803278,0.4262295081967213,1.0,1.098360655737705,-0.08196721311475408,-0.14754098360655754,7.625
3,full_core,10,0.9038461538461539,0.9230769230769231,nan,nan,0.0,0.0,6.5
3,tool_tag_reader,1,0.4230769230769231,0.3076923076923077,0.9230769230769231,0.9423076923076923,-0.019230769230769273,-0.019230769230769162,6.5
3,query_reader,1,0.3269230769230769,0.25,0.8846153846153846,0.9038461538461539,0.019230769230769273,0.019230769230769273,6.5
3,format_router,4,0.9615384615384616,1.0384615384615385,0.6923076923076923,0.6538461538461539,0.21153846153846156,0.2692307692307693,6.5
3,primary_writer_mlp,1,0.3269230769230769,0.2692307692307692,0.9807692307692307,1.0384615384615385,-0.07692307692307687,-0.11538461538461542,6.5
3,support_mlp,1,0.28846153846153844,0.17307692307692307,0.9038461538461539,0.9615384615384616,0.0,-0.038461538461538436,6.5
3,aux_mlp,2,0.038461538461538464,0.09615384615384616,0.9038461538461539,0.9230769230769231,0.0,0.0,6.5
3,all_heads,6,1.0384615384615385,1.1346153846153846,0.5,0.46153846153846156,0.40384615384615385,0.46153846153846156,6.5
3,all_mlps,4,0.5,0.46153846153846156,1.0384615384615385,1.1346153846153846,-0.1346153846153847,-0.21153846153846145,6.5
4,full_core,10,0.8163265306122449,0.8979591836734694,nan,nan,0.0,0.0,6.125
4,tool_tag_reader,1,0.16326530612244897,0.10204081632653061,0.8367346938775511,0.8979591836734694,-0.020408163265306145,0.0,6.125
4,query_reader,1,0.40816326530612246,0.2653061224489796,0.7959183673469388,0.8571428571428571,0.020408163265306145,0.04081632653061229,6.125
4,format_router,4,0.7755102040816326,0.8571428571428571,0.6326530612244898,0.6122448979591837,0.18367346938775508,0.2857142857142857,6.125
4,primary_writer_mlp,1,0.3877551020408163,0.3469387755102041,0.7346938775510204,0.7755102040816326,0.08163265306122447,0.12244897959183676,6.125
4,support_mlp,1,0.10204081632653061,0.04081632653061224,0.8571428571428571,0.9387755102040817,-0.04081632653061218,-0.04081632653061229,6.125
4,aux_mlp,2,0.1836734693877551,0.14285714285714285,0.8979591836734694,0.9387755102040817,-0.08163265306122447,-0.04081632653061229,6.125
4,all_heads,6,0.8979591836734694,1.0,0.4897959183673469,0.4897959183673469,0.326530612244898,0.40816326530612246,6.125
4,all_mlps,4,0.4897959183673469,0.4897959183673469,0.8979591836734694,1.0,-0.08163265306122447,-0.10204081632653061,6.125
5,full_core,10,0.9090909090909091,0.9431818181818182,nan,nan,0.0,0.0,11.0
5,tool_tag_reader,1,0.45454545454545453,0.2727272727272727,0.9090909090909091,0.9318181818181818,0.0,0.011363636363636465,11.0
5,query_reader,1,0.2727272727272727,0.17045454545454544,0.8977272727272727,0.9318181818181818,0.011363636363636354,0.011363636363636465,11.0
5,format_router,4,0.8295454545454546,0.8409090909090909,0.75,0.7272727272727273,0.15909090909090906,0.21590909090909094,11.0
5,primary_writer_mlp,1,0.42045454545454547,0.3068181818181818,0.9090909090909091,0.9659090909090909,0.0,-0.022727272727272707,11.0
5,support_mlp,1,0.19318181818181818,0.03409090909090909,0.9204545454545454,0.9659090909090909,-0.011363636363636354,-0.022727272727272707,11.0
5,aux_mlp,2,0.2840909090909091,0.23863636363636365,0.8863636363636364,0.9090909090909091,0.022727272727272707,0.03409090909090917,11.0
5,all_heads,6,0.9318181818181818,0.9886363636363636,0.6363636363636364,0.5454545454545454,0.2727272727272727,0.3977272727272728,11.0
5,all_mlps,4,0.6363636363636364,0.5454545454545454,0.9318181818181818,0.9886363636363636,-0.022727272727272707,-0.045454545454545414,11.0
6,full_core,10,0.8108108108108109,0.8108108108108109,nan,nan,0.0,0.0,4.625
6,tool_tag_reader,1,0.16216216216216217,0.10810810810810811,0.8378378378378378,0.8108108108108109,-0.027027027027026973,0.0,4.625
6,query_reader,1,0.35135135135135137,0.24324324324324326,0.8108108108108109,0.7837837837837838,0.0,0.027027027027027084,4.625
6,format_router,4,0.7837837837837838,0.8648648648648649,0.5405405405405406,0.4594594594594595,0.2702702702702703,0.35135135135135137,4.625
6,primary_writer_mlp,1,0.21621621621621623,0.13513513513513514,0.8108108108108109,0.8648648648648649,0.0,-0.05405405405405406,4.625
6,support_mlp,1,0.21621621621621623,0.10810810810810811,0.8378378378378378,0.8648648648648649,-0.027027027027026973,-0.05405405405405406,4.625
6,aux_mlp,2,0.02702702702702703,0.10810810810810811,0.8108108108108109,0.8648648648648649,0.0,-0.05405405405405406,4.625
6,all_heads,6,0.918918918918919,1.0810810810810811,0.40540540540540543,0.35135135135135137,0.40540540540540543,0.4594594594594595,4.625
6,all_mlps,4,0.40540540540540543,0.35135135135135137,0.918918918918919,1.0810810810810811,-0.10810810810810811,-0.2702702702702703,4.625
7,full_core,10,0.88,0.9,nan,nan,0.0,0.0,6.25
7,tool_tag_reader,1,0.2,0.14,0.88,0.88,0.0,0.020000000000000018,6.25
7,query_reader,1,0.28,0.2,0.86,0.86,0.020000000000000018,0.040000000000000036,6.25
7,format_router,4,0.74,0.74,0.66,0.6,0.21999999999999997,0.30000000000000004,6.25
7,primary_writer_mlp,1,0.28,0.22,0.86,0.88,0.020000000000000018,0.020000000000000018,6.25
7,support_mlp,1,0.2,0.1,0.9,0.9,-0.020000000000000018,0.0,6.25
7,aux_mlp,2,0.24,0.26,0.86,0.9,0.020000000000000018,0.0,6.25
7,all_heads,6,0.9,0.94,0.56,0.5,0.31999999999999995,0.4,6.25
7,all_mlps,4,0.56,0.5,0.9,0.94,-0.020000000000000018,-0.039999999999999925,6.25
8,full_core,10,1.0253164556962024,1.0126582278481013,nan,nan,0.0,0.0,9.875
8,tool_tag_reader,1,0.5316455696202531,0.379746835443038,1.0379746835443038,1.0379746835443038,-0.012658227848101333,-0.025316455696202445,9.875
8,query_reader,1,0.27848101265822783,0.13924050632911392,1.0253164556962024,1.0,0.0,0.012658227848101333,9.875
8,format_router,4,0.9367088607594937,1.0379746835443038,0.8734177215189873,0.810126582278481,0.1518987341772151,0.20253164556962033,9.875
8,primary_writer_mlp,1,0.46835443037974683,0.3670886075949367,1.1012658227848102,1.139240506329114,-0.07594936708860778,-0.12658227848101267,9.875
8,support_mlp,1,0.2911392405063291,0.11392405063291139,0.9746835443037974,0.9620253164556962,0.050632911392405,0.05063291139240511,9.875
8,aux_mlp,2,0.21518987341772153,0.189873417721519,0.9493670886075949,0.9493670886075949,0.07594936708860756,0.06329113924050644,9.875
8,all_heads,6,0.9873417721518988,1.0253164556962024,0.7215189873417721,0.6075949367088608,0.30379746835443033,0.40506329113924056,9.875
8,all_mlps,4,0.7215189873417721,0.6075949367088608,0.9873417721518988,1.0253164556962024,0.03797468354430367,-0.012658227848101111,9.875
9,full_core,10,0.9375,0.9166666666666666,nan,nan,0.0,0.0,6.0
9,tool_tag_reader,1,0.25,0.10416666666666667,0.9166666666666666,0.875,0.02083333333333337,0.04166666666666663,6.0
9,query_reader,1,0.22916666666666666,0.125,0.9166666666666666,0.8958333333333334,0.02083333333333337,0.02083333333333326,6.0
