source,target,n_samples,source_nodes,target_nodes,source_target_jaccard,suff_median,delta_vs_random_median,suff_vs_within_ratio,delta_vs_within_ratio
cluster_0,cluster_6,15,14,12,0.625,1.0,0.5217391304347826,1.0,0.8115942028985507
cluster_0,cluster_12,12,14,14,0.47368421052631576,1.0,0.8811541565778853,1.0,1.3706842435655993
cluster_0,cluster_8,11,14,12,0.5294117647058824,1.02,0.7,1.02,1.0888888888888888
cluster_0,cluster_2,9,14,12,0.625,0.9464285714285714,0.4912280701754386,0.9464285714285714,0.7641325536062378
cluster_0,cluster_1,8,14,13,0.5,0.9948440643863179,0.5593354430379747,0.9948440643863179,0.8700773558368494
cluster_0,cluster_10,8,14,14,0.6470588235294118,0.9502732240437158,0.687641723356009,0.9502732240437158,1.0696649029982361
cluster_6,cluster_0,57,12,14,0.625,0.9090909090909091,0.5737704918032787,0.9917355371900827,1.0267471958584986
cluster_6,cluster_12,12,12,14,0.625,0.9329973870847331,0.6273188309088482,1.0178153313651634,1.1225705395210968
cluster_6,cluster_8,11,12,12,0.6,0.9493670886075949,0.3893805309734514,1.0356731875719218,0.696786213320913
cluster_6,cluster_2,9,12,12,0.5,0.8679245283018868,0.5714285714285714,0.9468267581475129,1.0225563909774436
cluster_6,cluster_1,8,12,13,0.7857142857142857,0.9328470824949698,0.796666072383669,1.0176513627217854,1.425612971633934
cluster_6,cluster_10,8,12,14,0.5294117647058824,0.851905183872397,0.6198717948717949,0.9293511096789786,1.1092442645074223
cluster_12,cluster_0,57,14,14,0.47368421052631576,0.9318181818181818,0.6779661016949152,0.9802891780350796,0.9595134861197138
cluster_12,cluster_6,15,14,12,0.625,0.94,0.4782608695652174,0.9888965952080706,0.6768741874909721
cluster_12,cluster_8,11,14,12,0.5294117647058824,0.9545454545454546,0.4657534246575342,1.0041986701822767,0.6591726209438855
cluster_12,cluster_2,9,14,12,0.4444444444444444,0.8571428571428571,0.6666666666666666,0.9017294181228607,0.9435215946843852
cluster_12,cluster_1,8,14,13,0.5882352941176471,0.9788732394366197,0.6896059903726155,1.0297919293820934,0.9759872156104125
cluster_12,cluster_10,8,14,14,0.5555555555555556,0.86775956284153,0.3963675213675214,0.9128983799502477,0.5609719737626714
cluster_8,cluster_0,57,12,14,0.5294117647058824,0.9047619047619048,0.5714285714285714,0.9404761904761905,1.0089285714285714
cluster_8,cluster_6,15,12,12,0.6,0.9375,0.7419354838709676,0.9745065789473684,1.3099798387096773
cluster_8,cluster_12,12,12,14,0.5294117647058824,0.938472942920682,0.3865914786967418,0.9755179275096563,0.6825755795739348
cluster_8,cluster_2,9,12,12,0.6,0.8484848484848485,0.380952380952381,0.8819776714513556,0.6726190476190477
cluster_8,cluster_1,8,12,13,0.6666666666666666,0.971830985915493,0.6716417910447761,1.0101927353595257,1.1858675373134326
cluster_8,cluster_10,8,12,14,0.4444444444444444,0.8673423423423423,0.42582417582417575,0.9015795400663821,0.7518458104395603
cluster_2,cluster_0,57,12,14,0.625,1.0,0.7384615384615385,1.0769230769230769,1.0830769230769233
cluster_2,cluster_6,15,12,12,0.5,1.0126582278481013,0.728813559322034,1.0905550146056475,1.0689265536723165
cluster_2,cluster_12,12,12,14,0.4444444444444444,1.0,0.6056445461479787,1.0769230769230769,0.8882786676837021
cluster_2,cluster_8,11,12,12,0.6,0.9848484848484849,0.6986301369863013,1.0606060606060606,1.0246575342465754
cluster_2,cluster_1,8,12,13,0.5625,0.9859154929577465,0.6652929055048573,1.0617551462621886,0.9757629280737908
cluster_2,cluster_10,8,12,14,0.4444444444444444,0.941025641025641,0.5864589078874793,1.0134122287968441,0.8601397315683031
cluster_1,cluster_0,57,13,14,0.5,0.9074074074074074,0.6415094339622641,0.9654406882129655,1.196052440817679
cluster_1,cluster_6,15,13,12,0.7857142857142857,0.92,0.5762711864406781,0.9788386406208188,1.0744199892091018
cluster_1,cluster_12,12,13,14,0.5882352941176471,0.9311284969179706,0.5672572178477691,0.9906788610505355,1.0576140334955386
cluster_1,cluster_8,11,13,12,0.6666666666666666,0.9545454545454546,0.5342465753424658,1.0155934512370157,0.9960678465633129
cluster_1,cluster_2,9,13,12,0.5625,0.8679245283018868,0.4716981132075472,0.9234326798309612,0.8794503241306464
cluster_1,cluster_10,8,13,14,0.5,0.8288288288288288,0.543424317617866,0.8818366131719089,1.013179147611356
cluster_10,cluster_0,57,14,14,0.6470588235294118,0.975,0.6341463414634146,1.0440315974253949,1.4534414072922321
cluster_10,cluster_6,15,14,12,0.5294117647058824,1.0,0.4,1.0708016383850203,0.9167861184458694
cluster_10,cluster_12,12,14,14,0.5555555555555556,0.9864864864864865,0.5055407801418439,1.0563313459744121,1.1586819238558443
cluster_10,cluster_8,11,14,12,0.4444444444444444,0.98,0.576923076923077,1.0493856056173199,1.3222876708353888
cluster_10,cluster_2,9,14,12,0.4444444444444444,0.9107142857142857,0.7647058823529411,0.9751943492435007,1.7526793440876913
cluster_10,cluster_1,8,14,13,0.5,0.9701492537313433,0.6266149870801034,1.0388374103735272,1.4361798044129417
