node,node_role,n_pairs,baseline_median,shifted_median,delta_median,delta_mean,delta_ci_lo,delta_ci_hi
MLP27,Primary Writer MLP,139,-0.010869565217391353,0.13020833333333326,0.1395946763460375,0.14292814820758828,0.11892647469946893,0.14857142857142858
MLP20,Aux MLP,139,0.0,0.08247422680412364,0.07614133833646042,0.08102864483559384,0.06841432225063926,0.08059071729957812
L23H6,Format Router / Distractor Suppressor,139,0.01666666666666672,0.024691358024691357,0.013605442176870763,0.012524006511860081,0.009502923976608235,0.015909090909090984
L20H5,Query Reader / Distractor Suppressor,139,0.0,0.0,-0.0005602240896358524,-0.0015567378264267758,-0.006101190476190399,0.0
MLP22,Support Suppressor MLP,139,0.0,-0.007692307692307665,-0.006989097008666456,-0.006833253498901755,-0.009883198562443796,0.0
L17H8,Format Router / Target+Suppressor,139,0.03125,0.016393442622950838,-0.01224489795918371,-0.013005655026091538,-0.020021261516654953,-0.008391881342700969
L21H1,Format Router / Target+Suppressor,139,0.02941176470588225,0.014084507042253502,-0.015686274509803866,-0.016115461657054443,-0.0199070037779715,-0.012230741146403767
L24H6,Tool-Tag Reader / Distractor Suppressor,139,0.0,-0.04225352112676051,-0.04315018315018315,-0.048012732702127775,-0.05246743716749236,-0.03380018674136309
MLP11,Aux MLP,139,0.02857142857142858,-0.013157894736842146,-0.04566301096709868,-0.03797328761528789,-0.05424063116370825,-0.03567753001715268
L21H12,Format Router / Target+Suppressor,139,0.0674157303370787,0.012658227848101333,-0.05771873568483754,-0.0581889359194372,-0.06398730830248545,-0.04999999999999993
