run_key,run_label,source_mode,n_cluster_sources,cluster_nodes_mean,cluster_nodes_min,cluster_nodes_max,cluster_jaccard_mean,cluster_jaccard_min,cluster_jaccard_max,cross_over_within_suff_mean,cross_over_within_suff_median,cross_over_within_suff_p10,cross_over_within_suff_min,cross_over_within_suff_max,cross_over_within_delta_mean,cross_over_within_delta_median,cross_over_within_delta_p10,cross_over_within_delta_min,cross_over_within_delta_max,overlap_corr_pearson_suff,overlap_corr_spearman_suff,overlap_corr_pearson_delta,overlap_corr_spearman_delta
best_cluster_summary_v2,best|summary,cluster_summary,7,13.0,12.0,14.0,0.5607611173124221,0.4444444444444444,0.7857142857142857,0.9934102725353674,0.9852576433097676,0.954532136333119,0.9473751073017462,1.0633624340194825,1.022002370866408,0.995840357965727,0.8795843770825584,0.79600684643534,1.3400093781549947,0.10275790920747634,0.10439388074311853,0.02885555320085552,0.0675243193969842
best_compact_top4_det,best|top4,compact_support,7,4.0,4.0,4.0,0.6507936507936508,0.3333333333333333,1.0,1.0263928391371553,0.9678894068548584,0.9355141648600399,0.9302185997262141,1.1881081818702164,1.0334542998924807,1.0183080764698065,0.9164056738228059,0.9111141794587837,1.1727163124341975,-0.06969240497342068,-0.08234186860792103,-0.06318579810515255,-0.08058991395668869
best_compact_top2_det,best|top2,compact_support,7,2.0,2.0,2.0,0.4444444444444445,0.0,1.0,1.0022915998566524,0.9566752059164862,0.809874763760526,0.7998051096333167,1.2541361337765051,0.9938340609747468,1.0224370056472403,0.8575853040362442,0.8183486145263307,1.1083697310252612,0.10391265019841384,0.07042857697954097,0.04090764523344444,0.05536176697894266
clusterth055_cluster_summary_v2,th0.55|summary,cluster_summary,5,14.0,14.0,14.0,0.5899656002751978,0.4,0.75,0.9961526003851451,1.0011832265064113,0.980202686467816,0.9741249628379007,1.0081189856898571,0.9000678646290793,0.9045068759955751,0.8449177475620274,0.8268274679381186,0.9644302385870483,-0.1707156767026511,-0.12214096331049187,0.6692657013097314,0.6717752982077052
clusterth055_compact_top4_det,th0.55|top4,compact_support,4,4.0,4.0,4.0,0.6666666666666666,0.3333333333333333,1.0,0.9828673132016397,0.9858526950917383,0.9423164014230273,0.932365727693458,1.0273981349296237,1.071219796323691,1.1123449326558625,0.947939841058799,0.8932960498713433,1.166893270111695,0.35185684415207913,0.3379631847096873,-0.04252468450019478,-0.14484136487558028
