mode,q_index,group,n_nodes,gap_aug,full_suff_ratio,full_nec_ratio,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,drop_full_suff,drop_full_nec
orig,1,full_core,10,4.75,0.9210526315789473,1.0263157894736843,0.9210526315789473,1.0263157894736843,nan,nan,nan,nan
orig,1,stable_necessary_backbone,3,4.75,0.9210526315789473,1.0263157894736843,0.9473684210526315,1.368421052631579,0.7105263157894737,0.8421052631578947,0.21052631578947367,0.1842105263157896
orig,1,stable_but_weak_or_redundant,5,4.75,0.9210526315789473,1.0263157894736843,0.6578947368421053,0.6842105263157895,0.868421052631579,1.1578947368421053,0.05263157894736836,-0.13157894736842102
orig,1,all_heads,6,4.75,0.9210526315789473,1.0263157894736843,1.0789473684210527,1.263157894736842,0.5,0.6578947368421053,0.42105263157894735,0.368421052631579
orig,1,all_mlps,4,4.75,0.9210526315789473,1.0263157894736843,0.5,0.6578947368421053,1.0789473684210527,1.263157894736842,-0.1578947368421053,-0.23684210526315774
orig,2,full_core,10,7.625,0.9180327868852459,0.9508196721311475,0.9180327868852459,0.9508196721311475,nan,nan,nan,nan
orig,2,stable_necessary_backbone,3,7.625,0.9180327868852459,0.9508196721311475,0.8852459016393442,0.9508196721311475,0.7213114754098361,0.6885245901639344,0.19672131147540983,0.2622950819672131
orig,2,stable_but_weak_or_redundant,5,7.625,0.9180327868852459,0.9508196721311475,0.7377049180327869,0.6721311475409836,0.8852459016393442,0.8032786885245902,0.032786885245901676,0.14754098360655732
orig,2,all_heads,6,7.625,0.9180327868852459,0.9508196721311475,1.0,1.098360655737705,0.5573770491803278,0.4262295081967213,0.3606557377049181,0.5245901639344261
orig,2,all_mlps,4,7.625,0.9180327868852459,0.9508196721311475,0.5573770491803278,0.4262295081967213,1.0,1.098360655737705,-0.08196721311475408,-0.14754098360655754
orig,3,full_core,10,6.5,0.9038461538461539,0.9230769230769231,0.9038461538461539,0.9230769230769231,nan,nan,nan,nan
orig,3,stable_necessary_backbone,3,6.5,0.9038461538461539,0.9230769230769231,0.8846153846153846,1.0,0.7307692307692307,0.7115384615384616,0.17307692307692313,0.21153846153846156
orig,3,stable_but_weak_or_redundant,5,6.5,0.9038461538461539,0.9230769230769231,0.7307692307692307,0.7307692307692307,0.8846153846153846,0.9230769230769231,0.019230769230769273,0.0
orig,3,all_heads,6,6.5,0.9038461538461539,0.9230769230769231,1.0384615384615385,1.1346153846153846,0.5,0.46153846153846156,0.40384615384615385,0.46153846153846156
orig,3,all_mlps,4,6.5,0.9038461538461539,0.9230769230769231,0.5,0.46153846153846156,1.0384615384615385,1.1346153846153846,-0.1346153846153847,-0.21153846153846145
orig,4,full_core,10,6.125,0.8163265306122449,0.8979591836734694,0.8163265306122449,0.8979591836734694,nan,nan,nan,nan
