rank,tail,source,target,source_target_jaccard,suff_vs_within_ratio,delta_vs_within_ratio,suff_median,delta_vs_random_median
1,low,cluster_8,cluster_10,1.0,0.8096439549180326,0.8121659761004022,0.7851092896174863,0.6822194199243379
2,low,cluster_8,cluster_2,1.0,0.8172169811320755,0.935374149659864,0.7924528301886793,0.7857142857142857
3,low,cluster_1,cluster_2,0.6,0.8176369156879781,0.8170978509986496,0.7169811320754716,0.6037735849056604
4,low,cluster_6,cluster_10,1.0,0.8374499089253187,0.9041329182077812,0.7851092896174863,0.6944789081885856
5,low,cluster_1,cluster_10,0.6,0.8386216365000881,0.8857015031519365,0.7353825136612022,0.6544665012406947
6,low,cluster_12,cluster_2,0.3333333333333333,0.8447994954538287,0.825653798256538,0.6792452830188679,0.5909090909090908
7,low,cluster_6,cluster_2,1.0,0.8452830188679246,0.8284734133790735,0.7924528301886793,0.6363636363636362
8,low,cluster_12,cluster_10,0.3333333333333333,0.8736711721996437,0.8423423423423424,0.7024590163934425,0.6028528528528528
9,low,cluster_0,cluster_2,0.6,0.925067385444744,0.7619047619047619,0.7358490566037735,0.5818181818181818
10,low,cluster_12,cluster_0,0.6,0.932799442896936,0.995018679950187,0.75,0.7121212121212122
11,low,cluster_0,cluster_10,0.6,0.9454332552693208,0.8453370953370951,0.7520491803278688,0.6455301455301454
12,low,cluster_8,cluster_0,0.6,0.949404761904762,1.0088781275221952,0.9206349206349206,0.847457627118644
1,high,cluster_10,cluster_12,0.3333333333333333,1.273708021576475,1.2881358217090209,1.0,0.9553897180762853
2,high,cluster_2,cluster_12,0.3333333333333333,1.261904761904762,1.2063392660953638,1.0,0.8677177177177178
3,high,cluster_10,cluster_1,0.6,1.2437553807270278,1.3839452379291126,0.976483903420523,1.026450028339316
4,high,cluster_10,cluster_8,1.0,1.2351108088014302,1.1516584910067742,0.9696969696969696,0.8541666666666667
5,high,cluster_2,cluster_1,0.6,1.2322296876497076,1.2627382188666536,0.976483903420523,0.9082853855005754
6,high,cluster_2,cluster_8,1.0,1.2236652236652237,1.1687891215195336,0.9696969696969696,0.8407079646017699
7,high,cluster_10,cluster_6,1.0,1.1941012702279452,1.1500061832721875,0.9375,0.8529411764705881
8,high,cluster_2,cluster_6,1.0,1.1830357142857142,1.1081654294803818,0.9375,0.7971014492753623
9,high,cluster_10,cluster_0,0.6,1.1726200833561196,1.123569259518804,0.9206349206349206,0.8333333333333334
10,high,cluster_2,cluster_0,0.6,1.161753590325019,1.2006651884700663,0.9206349206349206,0.8636363636363636
11,high,cluster_0,cluster_12,0.6,1.087810832156619,1.1826115422694898,0.865304071033674,0.9030851777330652
12,high,cluster_0,cluster_1,0.6,1.0788157516527737,0.7731303432408799,0.8581488933601609,0.5903904439293992
