n_samples,full_core_suff_median,full_core_nec_median,format_router_drop_nec_median,query_reader_drop_nec_median,tool_tag_reader_drop_nec_median,all_heads_drop_nec_median,all_mlps_drop_nec_median,slice
139,0.9069767441860463,0.9243697478991596,0.2676056338028169,0.0181818181818181,0.0,0.4399999999999999,-0.1272727272727272,all
70,0.900586600802717,0.9120227038183695,0.25925925925925924,0.01835016835016825,0.0,0.42815283638068447,-0.1044188861985472,random_half_b
69,0.9090909090909092,0.9325842696629212,0.28,0.0169491525423729,0.0,0.4468085106382978,-0.1323529411764705,random_half_a
68,0.8989795918367347,0.9173497267759563,0.2685439560439561,0.0185185185185185,0.0,0.43693181818181814,-0.1293309438470728,gap_mid
36,0.9090439276485788,0.9340579710144927,0.3117408906882591,0.02247474747474745,0.0,0.4666666666666666,-0.20282413350449296,gap_q1
35,0.9130434782608696,0.9315068493150684,0.2394366197183098,0.0135135135135134,0.0140845070422535,0.4121212121212121,-0.0484848484848484,gap_q4
35,0.8928571428571429,0.9,0.288135593220339,0.0185185185185184,0.0172413793103448,0.44,-0.1052631578947368,prompt_len_q1
35,0.9230769230769232,0.9375,0.2531645569620252,0.0163934426229508,0.0,0.430379746835443,-0.1052631578947368,prompt_len_q4
23,1.0253164556962024,1.056338028169014,0.2653061224489795,0.0204081632653061,-0.0144927536231884,0.4507042253521126,-0.0421052631578947,easy_cases
16,0.838472485768501,0.8427807486631016,0.28256302521008403,0.01639125799573555,0.0074626865671642,0.41536293164200133,-0.11818458726774286,hard_cases
