scheme,group,n_nodes,suff_median,nec_median,drop_full_suff_median,drop_full_nec_median
semantic_v3,full_core,10,0.9069767441860465,0.9243697478991597,0.0,0.0
semantic_v3,tool_tag_reader,1,0.36619718309859156,0.25,0.0,0.0
semantic_v3,query_reader,1,0.2878787878787879,0.19402985074626866,0.01754385964912275,0.018181818181818188
semantic_v3,format_router,4,0.8902439024390244,0.9620253164556962,0.20967741935483863,0.2676056338028169
semantic_v3,primary_writer_mlp,1,0.3793103448275862,0.30357142857142855,0.0,-0.022727272727272707
semantic_v3,support_mlp,1,0.21818181818181817,0.0821917808219178,0.0,-0.020408163265306034
semantic_v3,aux_mlp,2,0.1487603305785124,0.1276595744680851,0.0,0.0
semantic_v3,all_heads,6,0.9777777777777777,1.0505050505050506,0.339622641509434,0.43999999999999995
semantic_v3,all_mlps,4,0.5652173913043478,0.4807692307692308,-0.060975609756097504,-0.1272727272727272
data_driven_v1,full_core,10,0.9069767441860465,0.9243697478991597,0.0,0.0
data_driven_v1,contextual_supporter,4,0.7021276595744681,0.65625,0.05633802816901412,0.06666666666666665
data_driven_v1,essential_backbone,3,0.8444444444444444,0.8771929824561403,0.15999999999999992,0.203125
data_driven_v1,redundant_or_interfering,3,0.5357142857142857,0.4262295081967213,-0.08955223880597019,-0.12121212121212133
data_driven_v1,all_heads,6,0.9777777777777777,1.0505050505050506,0.339622641509434,0.43999999999999995
data_driven_v1,all_mlps,4,0.5652173913043478,0.4807692307692308,-0.060975609756097504,-0.1272727272727272
