node,node_role,n_samples,node_suff_median,node_suff_ci_lo,node_suff_ci_hi,node_nec_median,node_nec_ci_lo,node_nec_ci_hi,minus_node_suff_median,minus_node_nec_median,drop_full_suff_median,drop_full_suff_ci_lo,drop_full_suff_ci_hi,drop_full_nec_median,drop_full_nec_ci_lo,drop_full_nec_ci_hi,rank_drop_full_nec,rank_node_suff,stability_freq,stratum
L21H12,Format Router / Target+Suppressor,139,0.5074626865671642,0.495049504950495,0.5192307692307693,0.2577319587628865,0.25,0.2682926829268293,0.9166666666666666,0.9126984126984128,0.0465116279069767,0.0434782608695653,0.05,0.0674157303370787,0.0612244897959184,0.0731707317073171,1,1,1.0,stable_necessary_backbone
L17H8,Format Router / Target+Suppressor,139,0.3333333333333333,0.3235294117647059,0.3492063492063492,0.2413793103448276,0.2280701754385964,0.25,0.9318181818181818,0.9523809523809524,0.0294117647058823,0.0254777070063694,0.03125,0.03125,0.0285714285714285,0.0357142857142857,2,5,1.0,stable_necessary_backbone
L21H1,Format Router / Target+Suppressor,139,0.390625,0.38,0.4,0.16,0.15625,0.1666666666666666,0.9423076923076924,0.9552238805970148,0.0256410256410255,0.0217391304347827,0.0294117647058823,0.0294117647058822,0.0273972602739726,0.0333333333333333,3,3,1.0,stable_necessary_backbone
L23H6,Format Router / Distractor Suppressor,139,0.3333333333333333,0.3181818181818182,0.3392857142857143,0.1568627450980392,0.1509433962264151,0.1632653061224489,0.9487179487179488,0.96875,0.0131578947368421,0.0,0.015625,0.0166666666666667,0.0136986301369862,0.0180180180180179,5,6,1.0,stable_but_weak_or_redundant
L20H5,Query Reader / Distractor Suppressor,139,0.265625,0.25,0.2777777777777778,0.1666666666666666,0.15625,0.1764705882352941,0.9552238805970148,0.98,0.0,0.0,0.0128205128205128,0.0,0.0,0.0142857142857143,7,7,1.0,stable_but_weak_or_redundant
MLP22,Support Suppressor MLP,139,0.1764705882352941,0.1590909090909091,0.1864406779661017,0.0821917808219178,0.0757575757575757,0.0891719745222929,0.9615384615384616,0.9833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,8,10,1.0,stable_but_weak_or_redundant
L24H6,Tool-Tag Reader / Distractor Suppressor,139,0.3571428571428571,0.3409090909090909,0.373134328358209,0.2388059701492537,0.2244897959183673,0.2558139534883721,0.9615384615384616,0.9850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,9,4,1.0,stable_but_weak_or_redundant
MLP27,Primary Writer MLP,139,0.4285714285714285,0.4142857142857143,0.4367816091954023,0.35,0.3392857142857143,0.359375,0.9636363636363636,0.9863013698630136,0.0,-0.0108695652173912,0.0,-0.0108695652173913,-0.0158730158730158,0.0,10,2,1.0,stable_but_weak_or_redundant
MLP11,Aux MLP,139,0.2058823529411764,0.1935483870967742,0.2352941176470588,0.1875,0.173076923076923,0.2,0.9402985074626866,0.9591836734693876,0.0256410256410256,0.020408163265306,0.0309278350515465,0.0285714285714285,0.0175438596491227,0.0338983050847456,4,9,0.6666666666666666,unstable_but_necessary
MLP20,Aux MLP,139,0.2368421052631578,0.21875,0.2592592592592592,0.1363636363636363,0.1232876712328767,0.15,0.9622641509433962,0.9722222222222222,0.0,0.0,0.0108695652173913,0.0,0.0,0.0161290322580645,6,8,0.6666666666666666,unstable_weak
