node,node_role,n_samples,node_suff_median,node_suff_ci_lo,node_suff_ci_hi,node_nec_median,node_nec_ci_lo,node_nec_ci_hi,minus_node_suff_median,minus_node_nec_median,drop_full_suff_median,drop_full_suff_ci_lo,drop_full_suff_ci_hi,drop_full_nec_median,drop_full_nec_ci_lo,drop_full_nec_ci_hi,rank_drop_full_nec,rank_node_suff
MLP11,Aux MLP,139,0.20588235294117646,0.1935483870967742,0.23529411764705882,0.1875,0.17307692307692307,0.2,0.9402985074626866,0.9591836734693877,0.02564102564102566,0.020408163265306034,0.030927835051546504,0.02857142857142858,0.01754385964912275,0.03389830508474567,4,9
L17H8,Format Router / Target+Suppressor,139,0.3333333333333333,0.3235294117647059,0.3492063492063492,0.2413793103448276,0.22807017543859648,0.25,0.9318181818181818,0.9523809523809523,0.02941176470588236,0.02547770700636942,0.03125,0.03125,0.02857142857142858,0.0357142857142857,2,5
MLP20,Aux MLP,139,0.23684210526315788,0.21875,0.25925925925925924,0.13636363636363635,0.1232876712328767,0.15,0.9622641509433962,0.9722222222222222,0.0,0.0,0.010869565217391353,0.0,0.0,0.016129032258064502,6,8
L20H5,Query Reader / Distractor Suppressor,139,0.265625,0.25,0.2777777777777778,0.16666666666666666,0.15625,0.17647058823529413,0.9552238805970149,0.98,0.0,0.0,0.012820512820512886,0.0,0.0,0.014285714285714346,7,7
L21H1,Format Router / Target+Suppressor,139,0.390625,0.38,0.4,0.16,0.15625,0.16666666666666666,0.9423076923076923,0.9552238805970149,0.02564102564102555,0.021739130434782705,0.02941176470588236,0.02941176470588225,0.0273972602739726,0.033333333333333326,3,3
L21H12,Format Router / Target+Suppressor,139,0.5074626865671642,0.49504950495049505,0.5192307692307693,0.25773195876288657,0.25,0.2682926829268293,0.9166666666666666,0.9126984126984127,0.046511627906976716,0.0434782608695653,0.050000000000000044,0.0674157303370787,0.061224489795918435,0.07317073170731714,1,1
MLP22,Support Suppressor MLP,139,0.17647058823529413,0.1590909090909091,0.1864406779661017,0.0821917808219178,0.07575757575757576,0.08917197452229299,0.9615384615384616,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,8,10
L23H6,Format Router / Distractor Suppressor,139,0.3333333333333333,0.3181818181818182,0.3392857142857143,0.1568627450980392,0.1509433962264151,0.16326530612244897,0.9487179487179487,0.96875,0.013157894736842146,0.0,0.015625,0.01666666666666672,0.013698630136986245,0.018018018018017945,5,6
L24H6,Tool-Tag Reader / Distractor Suppressor,139,0.35714285714285715,0.3409090909090909,0.373134328358209,0.23880597014925373,0.22448979591836735,0.2558139534883721,0.9615384615384616,0.9850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,9,4
MLP27,Primary Writer MLP,139,0.42857142857142855,0.4142857142857143,0.4367816091954023,0.35,0.3392857142857143,0.359375,0.9636363636363636,0.9863013698630136,0.0,-0.010869565217391242,0.0,-0.010869565217391353,-0.015873015873015817,0.0,10,2
