gap_bin,group,n_samples,suff_median,nec_median,drop_full_suff_median,drop_full_nec_median
gap_Q1,format_router,36,0.9268507638072856,1.0634920634920635,0.24722222222222215,0.3117408906882591
gap_Q1,query_reader,36,0.3134502923976608,0.25,0.02355875831485585,0.02247474747474745
gap_Q1,tool_tag_reader,36,0.3333333333333333,0.2438438438438438,0.0,0.0
gap_Q1,all_heads,36,1.0400793650793652,1.1435672514619881,0.39999999999999997,0.4666666666666666
gap_Q1,all_mlps,36,0.5113695090439276,0.4602463605823067,-0.10582306830907054,-0.20282413350449296
gap_Q2,format_router,35,0.8958333333333334,1.0185185185185186,0.2199999999999999,0.2653061224489795
gap_Q2,query_reader,35,0.2692307692307692,0.1851851851851851,0.0188679245283018,0.0188679245283018
gap_Q2,tool_tag_reader,35,0.320754716981132,0.22,0.0,0.0
gap_Q2,all_heads,35,0.979591836734694,1.06,0.3469387755102041,0.4399999999999999
gap_Q2,all_mlps,35,0.5272727272727272,0.48,-0.0727272727272727,-0.1296296296296297
gap_Q3,format_router,33,0.8524590163934426,0.8928571428571429,0.2033898305084746,0.271186440677966
gap_Q3,query_reader,33,0.3050847457627119,0.1967213114754098,0.0169491525423728,0.0178571428571427
gap_Q3,tool_tag_reader,33,0.360655737704918,0.2459016393442623,0.0,0.015625
gap_Q3,all_heads,33,0.935483870967742,1.0169491525423728,0.3333333333333333,0.4285714285714286
gap_Q3,all_mlps,33,0.5692307692307692,0.4754098360655737,-0.0491803278688524,-0.1071428571428572
gap_Q4,format_router,35,0.8805970149253731,0.8736842105263158,0.1764705882352941,0.2394366197183098
gap_Q4,query_reader,35,0.2794117647058823,0.1707317073170731,0.0113636363636363,0.0135135135135134
gap_Q4,tool_tag_reader,35,0.4558823529411764,0.2753623188405797,0.0,0.0140845070422535
gap_Q4,all_heads,35,0.951219512195122,1.0,0.2894736842105263,0.4121212121212121
gap_Q4,all_mlps,35,0.6176470588235294,0.5,-0.0379746835443038,-0.0484848484848484
