node,node_role,n_samples,node_suff_median,node_suff_ci_lo,node_suff_ci_hi,node_nec_median,node_nec_ci_lo,node_nec_ci_hi,minus_node_suff_median,minus_node_nec_median,drop_full_suff_median,drop_full_suff_ci_lo,drop_full_suff_ci_hi,drop_full_nec_median,drop_full_nec_ci_lo,drop_full_nec_ci_hi,rank_drop_full_nec,rank_node_suff
MLP11,Aux MLP,139,0.06521739130434782,0.046511627906976744,0.08196721311475409,0.0684931506849315,0.046153846153846156,0.08917197452229299,0.9701492537313433,0.9836734693877551,0.0,0.0,0.013071895424836555,-0.013157894736842146,-0.019354838709677358,-0.006451612903225712,9,10
L17H8,Format Router / Target+Suppressor,139,0.22058823529411764,0.2,0.2356687898089172,0.19858156028368795,0.18032786885245902,0.20987654320987653,0.9646017699115044,0.9497716894977168,0.013157894736842257,0.012195121951219523,0.016666666666666607,0.016393442622950838,0.013157894736842146,0.019354838709677358,4,8
MLP20,Aux MLP,139,0.4473684210526316,0.42028985507246375,0.4666666666666667,0.3953488372093023,0.36257309941520466,0.4316546762589928,0.92,0.8884462151394422,0.06024096385542166,0.05228758169934644,0.06521739130434778,0.08247422680412364,0.07228915662650592,0.09230769230769231,2,3
L20H5,Query Reader / Distractor Suppressor,139,0.24193548387096775,0.22340425531914893,0.25,0.18072289156626506,0.16901408450704225,0.19444444444444445,0.967479674796748,0.9545454545454546,0.010101010101010166,0.0,0.011428571428571455,0.0,0.0,0.006369426751592355,7,7
L21H1,Format Router / Target+Suppressor,139,0.3881278538812785,0.35802469135802467,0.41007194244604317,0.2647058823529412,0.24324324324324326,0.2872340425531915,0.9629629629629629,0.9506172839506173,0.012658227848101333,0.011111111111111183,0.01538461538461533,0.014084507042253502,0.010869565217391242,0.016666666666666607,5,5
L21H12,Format Router / Target+Suppressor,139,0.4430379746835443,0.43209876543209874,0.45569620253164556,0.32786885245901637,0.3,0.3657142857142857,0.9673469387755103,0.952,0.014388489208633115,0.012658227848101333,0.016666666666666607,0.012658227848101333,0.008064516129032251,0.015625,6,4
MLP22,Support Suppressor MLP,139,0.09821428571428571,0.07913669064748201,0.11594202898550725,0.06315789473684211,0.05319148936170213,0.07142857142857142,0.9811320754716981,0.9782608695652174,0.0,-0.010526315789473717,0.0,-0.007692307692307665,-0.016129032258064502,0.0,8,9
L23H6,Format Router / Distractor Suppressor,139,0.31645569620253167,0.3116883116883117,0.32926829268292684,0.21153846153846154,0.19047619047619047,0.22857142857142856,0.9642857142857143,0.9363057324840764,0.016000000000000014,0.013698630136986356,0.018957345971563955,0.024691358024691357,0.021739130434782705,0.02777777777777768,3,6
L24H6,Tool-Tag Reader / Distractor Suppressor,139,0.47540983606557374,0.4596774193548387,0.4943820224719101,0.36363636363636365,0.35251798561151076,0.3829787234042553,1.0,1.0105263157894737,-0.014084507042253502,-0.018957345971563955,-0.012195121951219412,-0.04225352112676051,-0.04819277108433728,-0.033333333333333326,10,1
MLP27,Primary Writer MLP,139,0.4576271186440678,0.4482758620689655,0.4716981132075472,0.3893805309734513,0.38247011952191234,0.4018264840182648,0.863013698630137,0.8378378378378378,0.11290322580645162,0.09756097560975618,0.1235955056179775,0.13020833333333326,0.10360360360360354,0.1404494382022472,1,2
