run_tag,core_node_th,core_edge_th,seed,splits,core_size_median,core_pairwise_jaccard_mean,test_suff_median_mean,test_nec_median_mean,test_delta_vs_random_mean,score
n0.40_e0.25_s901,0.40,0.25,901,8,12.0,0.8912480376766091,0.9549056576018174,0.966849660898853,0.8194940971832252,2.2612494156838956
n0.40_e0.25_s1901,0.40,0.25,1901,8,12.0,0.8901360544217687,0.9505222560822383,0.9640087518079441,0.8170600800685708,2.251591087958753
n0.40_e0.25_s2901,0.40,0.25,2901,8,12.0,0.8779565672422815,0.9495185759216495,0.962539316071267,0.8156355383796768,2.247693430372593
n0.45_e0.30_s901,0.45,0.30,901,8,11.0,0.9199134199134198,0.9358206779556605,0.9617491167464749,0.8190943899077583,2.276664184609894
n0.45_e0.30_s1901,0.45,0.30,1901,8,11.0,0.91991341991342,0.9355333216338214,0.9606969281942864,0.8214637895470615,2.2776940393751692
n0.45_e0.30_s2901,0.45,0.30,2901,8,11.0,0.91991341991342,0.9327593490310817,0.9583093556604372,0.8159883517428566,2.2670570564343753
n0.50_e0.35_s901,0.50,0.35,901,8,9.5,0.8581168831168832,0.9324385388598675,0.9550676626250594,0.8168168307599004,2.3243230322448274
n0.50_e0.35_s1901,0.50,0.35,1901,8,10.5,0.8717532467532468,0.9301737814080848,0.9541326798862793,0.8119899921098521,2.2762964534042163
n0.50_e0.35_s2901,0.50,0.35,2901,8,10.5,0.888961038961039,0.9267294645309322,0.9503248746501647,0.8055129409579884,2.262567280139085
n0.55_e0.40_s901,0.55,0.40,901,8,8.0,0.9523809523809524,0.9133587412070405,0.9375580295587178,0.8140754083369881,2.344992179102747
n0.55_e0.40_s1901,0.55,0.40,1901,8,8.0,0.9523809523809523,0.9146533326915054,0.9384810253393084,0.8130086804811232,2.346143038511937
n0.55_e0.40_s2901,0.55,0.40,2901,8,8.0,0.9404761904761905,0.9187100253928251,0.9395798611672961,0.8117875954046652,2.3500774819647865
