group,n_samples,suff_median,nec_median,suff_minus_median,nec_minus_median,drop_full_suff_median,drop_full_nec_median,slice
all_heads,139,0.9777777777777776,1.0505050505050506,0.5652173913043478,0.4807692307692308,0.339622641509434,0.4399999999999999,all
all_mlps,139,0.5652173913043478,0.4807692307692308,0.9777777777777776,1.0505050505050506,-0.0609756097560975,-0.1272727272727272,all
aux_mlp,139,0.1487603305785124,0.1276595744680851,0.9069767441860463,0.9206349206349206,0.0,0.0,all
format_router,139,0.8902439024390244,0.9620253164556962,0.691358024691358,0.6551724137931034,0.2096774193548386,0.2676056338028169,all
full_core,139,0.9069767441860463,0.9243697478991596,,,0.0,0.0,all
primary_writer_mlp,139,0.3793103448275862,0.3035714285714285,0.8987341772151899,0.945945945945946,0.0,-0.0227272727272727,all
query_reader,139,0.2878787878787879,0.1940298507462686,0.8888888888888888,0.903846153846154,0.0175438596491227,0.0181818181818181,all
support_mlp,139,0.2181818181818181,0.0821917808219178,0.9210526315789472,0.9473684210526316,0.0,-0.020408163265306,all
tool_tag_reader,139,0.3661971830985915,0.25,0.9078947368421052,0.9117647058823528,0.0,0.0,all
all_heads,23,1.0303030303030305,1.1014492753623188,0.71900826446281,0.6075949367088608,0.3230769230769229,0.4507042253521126,easy_cases
all_mlps,23,0.71900826446281,0.6075949367088608,1.0303030303030305,1.1014492753623188,-0.0579710144927535,-0.0421052631578947,easy_cases
aux_mlp,23,0.2608695652173913,0.1570247933884297,1.0,1.0,0.05,0.0632911392405064,easy_cases
format_router,23,0.9595959595959596,1.046875,0.8518518518518519,0.7887323943661971,0.1866666666666667,0.2653061224489795,easy_cases
full_core,23,1.0253164556962024,1.056338028169014,,,0.0,0.0,easy_cases
primary_writer_mlp,23,0.463768115942029,0.3661971830985915,1.105263157894737,1.139240506329114,-0.0606060606060605,-0.0704225352112677,easy_cases
query_reader,23,0.3611111111111111,0.2,1.0,1.028169014084507,0.024793388429752,0.0204081632653061,easy_cases
support_mlp,23,0.2676056338028169,0.125,1.0,1.04,0.0330578512396694,0.0303030303030302,easy_cases
tool_tag_reader,23,0.4722222222222222,0.3157894736842105,1.0307692307692309,1.0422535211267605,0.0,-0.0144927536231884,easy_cases
all_heads,68,0.9658094681472823,1.0427120669056151,0.5554742388758782,0.4754098360655737,0.339811320754717,0.43693181818181814,gap_mid
all_mlps,68,0.5554742388758782,0.4754098360655737,0.9658094681472823,1.0427120669056151,-0.05456349206349195,-0.1293309438470728,gap_mid
aux_mlp,68,0.14434523809523803,0.1228070175438596,0.9,0.9159604519774012,0.00757575757575755,0.0,gap_mid
format_router,68,0.8760964912280702,0.9649122807017544,0.681878306878307,0.6396721311475411,0.21846590909090904,0.2685439560439561,gap_mid
full_core,68,0.8989795918367347,0.9173497267759563,,,0.0,0.0,gap_mid
primary_writer_mlp,68,0.36882591093117406,0.2962962962962963,0.890625,0.9372131147540983,0.0,-0.01925925925925915,gap_mid
query_reader,68,0.2897727272727273,0.19513484928609198,0.8834841628959276,0.9008196721311477,0.01770050125313285,0.0185185185185185,gap_mid
support_mlp,68,0.20389266817838245,0.08032258064516125,0.9145236703682058,0.9433760683760684,0.0,-0.0177338355304456,gap_mid
tool_tag_reader,68,0.33045977011494254,0.23939393939393935,0.8973684210526316,0.906533892382949,0.0,0.0,gap_mid
all_heads,36,1.0400793650793652,1.1435672514619881,0.5113695090439276,0.4602463605823067,0.39999999999999997,0.4666666666666666,gap_q1
all_mlps,36,0.5113695090439276,0.4602463605823067,1.0400793650793652,1.1435672514619881,-0.10582306830907054,-0.20282413350449296,gap_q1
aux_mlp,36,0.13188405797101443,0.1149577167019027,0.9220647773279352,0.9426699426699428,0.0,0.0,gap_q1
format_router,36,0.9268507638072856,1.0634920634920635,0.6585365853658537,0.6504112808460635,0.24722222222222215,0.3117408906882591,gap_q1
full_core,36,0.9090439276485788,0.9340579710144927,,,0.0,0.0,gap_q1
primary_writer_mlp,36,0.3262411347517731,0.29758481886141464,0.9134751773049645,0.959815078236131,-0.01063829787234035,-0.04054054054054045,gap_q1
query_reader,36,0.3134502923976608,0.25,0.8903903903903904,0.9170480549199085,0.02355875831485585,0.02247474747474745,gap_q1
support_mlp,36,0.18876793666501723,0.10724554341575615,0.9347517730496454,0.9753048780487805,-0.02174940898345145,-0.04494949494949495,gap_q1
tool_tag_reader,36,0.3333333333333333,0.2438438438438438,0.9111111111111112,0.930952380952381,0.0,0.0,gap_q1
all_heads,35,0.951219512195122,1.0,0.6176470588235294,0.5,0.2894736842105263,0.4121212121212121,gap_q4
all_mlps,35,0.6176470588235294,0.5,0.951219512195122,1.0,-0.0379746835443038,-0.0484848484848484,gap_q4
aux_mlp,35,0.208955223880597,0.1492537313432835,0.9135802469135802,0.9178082191780822,0.012121212121212,0.0,gap_q4
format_router,35,0.8805970149253731,0.8736842105263158,0.7395833333333334,0.6951219512195121,0.1764705882352941,0.2394366197183098,gap_q4
full_core,35,0.9130434782608696,0.9315068493150684,,,0.0,0.0,gap_q4
primary_writer_mlp,35,0.4264705882352941,0.3283582089552239,0.9104477611940298,0.951219512195122,-0.0123456790123457,-0.0227272727272727,gap_q4
query_reader,35,0.2794117647058823,0.1707317073170731,0.902439024390244,0.9117647058823528,0.0113636363636363,0.0135135135135134,gap_q4
support_mlp,35,0.2394366197183098,0.0821917808219178,0.9240506329113924,0.9411764705882352,0.0,-0.0126582278481012,gap_q4
tool_tag_reader,35,0.4558823529411764,0.2753623188405797,0.9113924050632912,0.9117647058823528,0.0,0.0140845070422535,gap_q4
all_heads,16,0.9076510721247564,0.9740187949143172,0.5049019607843137,0.43106060606060603,0.3260560037968676,0.41536293164200133,hard_cases
all_mlps,16,0.5049019607843137,0.43106060606060603,0.9076510721247564,0.9740187949143172,-0.07812975936643304,-0.11818458726774286,hard_cases
aux_mlp,16,0.16175249169435213,0.11087223587223585,0.8497743391360413,0.8588039867109634,0.0,-0.03278251599147115,hard_cases
format_router,16,0.7981481481481482,0.8603896103896104,0.6153288201160542,0.5598239295718287,0.22474747474747475,0.28256302521008403,hard_cases
full_core,16,0.838472485768501,0.8427807486631016,,,0.0,0.0,hard_cases
primary_writer_mlp,16,0.32407407407407407,0.2429371002132196,0.8260737130673165,0.8550420168067226,0.0,-0.0194633408919122,hard_cases
query_reader,16,0.30454545454545456,0.2142261159783062,0.8172541743970316,0.8330619629127092,0.015827517447657,0.01639125799573555,hard_cases
support_mlp,16,0.2063223938223938,0.08195628997867796,0.8375235700817096,0.871611331099604,-0.00847457627118645,-0.03826530612244895,hard_cases
tool_tag_reader,16,0.25866188769414566,0.1555092186128182,0.8362777946999695,0.8266583229036295,0.0,0.0074626865671642,hard_cases
all_heads,35,0.935483870967742,1.0185185185185186,0.5365853658536586,0.4629629629629629,0.3548387096774194,0.44,prompt_len_q1
all_mlps,35,0.5365853658536586,0.4629629629629629,0.935483870967742,1.0185185185185186,-0.0392156862745097,-0.1052631578947368,prompt_len_q1
aux_mlp,35,0.1463414634146341,0.1525423728813559,0.8823529411764706,0.9032258064516128,0.0169491525423729,-0.0136986301369862,prompt_len_q1
format_router,35,0.8448275862068966,0.8666666666666667,0.6585365853658537,0.6097560975609756,0.24,0.288135593220339,prompt_len_q1
full_core,35,0.8928571428571429,0.9,,,0.0,0.0,prompt_len_q1
primary_writer_mlp,35,0.3555555555555555,0.2923076923076923,0.8245614035087719,0.851063829787234,0.0666666666666666,0.0493827160493827,prompt_len_q1
query_reader,35,0.2769230769230769,0.2,0.8717948717948718,0.88,0.02,0.0185185185185184,prompt_len_q1
support_mlp,35,0.1481481481481481,0.027027027027027,0.9230769230769232,0.981132075471698,-0.0243902439024389,-0.0727272727272727,prompt_len_q1
tool_tag_reader,35,0.2653061224489796,0.1764705882352941,0.8867924528301887,0.8947368421052632,0.0,0.0172413793103448,prompt_len_q1
all_heads,35,0.9836065573770492,1.027027027027027,0.5949367088607594,0.5063291139240507,0.3278688524590163,0.430379746835443,prompt_len_q4
all_mlps,35,0.5949367088607594,0.5063291139240507,0.9836065573770492,1.027027027027027,-0.0535714285714284,-0.1052631578947368,prompt_len_q4
aux_mlp,35,0.1509433962264151,0.1184210526315789,0.9107142857142856,0.9338842975206612,0.0178571428571429,0.0,prompt_len_q4
format_router,35,0.92,0.9649122807017544,0.75,0.6923076923076923,0.1866666666666667,0.2531645569620252,prompt_len_q4
full_core,35,0.9230769230769232,0.9375,,,0.0,0.0,prompt_len_q4
primary_writer_mlp,35,0.3918918918918919,0.3291139240506329,0.9555555555555556,1.0,-0.0384615384615384,-0.0535714285714284,prompt_len_q4
query_reader,35,0.3225806451612903,0.1967213114754098,0.918918918918919,0.9215686274509804,0.0133333333333334,0.0163934426229508,prompt_len_q4
support_mlp,35,0.2678571428571428,0.1212121212121212,0.9342105263157896,0.9367088607594936,0.0,0.01010101010101,prompt_len_q4
tool_tag_reader,35,0.4230769230769231,0.3131313131313131,0.921875,0.935483870967742,0.0,0.0,prompt_len_q4
all_heads,69,0.979591836734694,1.069767441860465,0.5614035087719298,0.4789915966386555,0.3399999999999999,0.4468085106382978,random_half_a
all_mlps,69,0.5614035087719298,0.4789915966386555,0.979591836734694,1.069767441860465,-0.0727272727272727,-0.1323529411764705,random_half_a
aux_mlp,69,0.1509433962264151,0.1136363636363636,0.9069767441860463,0.9333333333333332,0.0,0.0,random_half_a
