variant,n_nodes,n_edges,replay_suff_median,replay_nec_median,replay_delta_vs_random,cv_suff_mean,cv_nec_mean,cv_delta_vs_random_mean,cv_core_jaccard_mean,fullset_min_median,fullset_hmean_median,note
compact_10,10,23,0.9074074074074074,0.9240506329113924,0.5833333333333333,0.9329958312287269,0.9513880367653513,0.8005842805287857,0.895151515151515,0.9019607843137255,0.9149403640929065,
extended_12,12,31,0.9661016949152542,0.9746835443037974,0.6742424242424243,0.9431325589287918,0.9570772915270308,0.7974640499698272,0.85,0.9594594594594594,0.9680851063829787,
best_overnight_n0.55_e0.4,8,20,0.9036144578313253,0.9240506329113924,0.6825396825396826,,,,,0.9069767441860465,0.9137547970107048,Best overnight config selected by CV objective; compact 8-node core.
stability_pruned_7_er0.03,7,17,0.8615384615384616,0.8666666666666667,0.6388888888888888,,,,,0.864406779661017,0.8661620823333949,Removed L20H5 branch (3 edges); role/replay both drop.
stability_pruned_6_er0.05,6,14,0.8490566037735849,0.8524590163934426,0.6534090909090908,,,,,,,Removed L20H5 and MLP22 branches; replay drops further.
