split_id,seed,n_train,n_test,core_size,jaccard_vs_full_core,test_suff_median,test_nec_median,test_min_median,test_harmonic_median,test_rand_suff_mean_median,test_global_minus_random_median
0,321,96,43,12,0.8333333333333334,0.9594594594594594,0.9701492537313433,0.9574468085106383,0.9680851063829787,0.1726190476190476,0.7868404118404119
1,1321,96,43,11,0.9090909090909091,0.9166666666666666,0.9518072289156626,0.9166666666666666,0.9330357142857142,0.11403508771929823,0.8026315789473684
2,2321,96,43,11,0.9090909090909091,0.9375,0.9518072289156626,0.9310344827586207,0.9426795580110497,0.12935323383084577,0.8081467661691543
3,3321,96,43,15,0.6666666666666666,0.958904109589041,0.9545454545454546,0.9491525423728814,0.958904109589041,0.16666666666666666,0.7922374429223744
