split_id,seed,n_train,n_test,core_size,jaccard_vs_full_core,test_suff_median,test_nec_median,test_min_median,test_harmonic_median,test_rand_suff_mean_median,test_global_minus_random_median
0,901,96,43,9,0.9,0.9491525423728814,0.9620253164556962,0.9436619718309859,0.9508793208004852,0.10508474576271187,0.8440677966101695
1,1901,96,43,9,0.7272727272727273,0.9230769230769231,0.9402985074626866,0.9156626506024096,0.9318001586042823,0.10731707317073169,0.8157598499061914
2,2901,96,43,11,0.9090909090909091,0.9291338582677166,0.9516129032258065,0.9285714285714286,0.9426795580110497,0.14509803921568626,0.7840358190520302
3,3901,96,43,11,0.9090909090909091,0.9178082191780822,0.9433962264150944,0.9154929577464789,0.9246067985794014,0.14339622641509436,0.7744119927629878
4,4901,96,43,11,0.9090909090909091,0.9230769230769231,0.9659090909090909,0.9230769230769231,0.9428571428571428,0.08,0.8430769230769232
5,5901,96,43,9,0.9,0.9491525423728814,0.9574468085106383,0.9402985074626866,0.9493670886075949,0.10491803278688525,0.8442345095859961
6,6901,96,43,9,0.9,0.9590163934426229,0.9761904761904762,0.9508196721311475,0.9649122807017544,0.1180327868852459,0.840983606557377
7,7901,96,43,10,0.8181818181818182,0.9090909090909091,0.9436619718309859,0.9090909090909091,0.925132402503611,0.1211267605633803,0.7879641485275287
