q_index,source,source_build_mode,source_cluster_id,source_cluster_size,target,source_nodes,suff_ratio,nec_ratio,random_suff_mean,delta_vs_random,gap
1,cluster_0,cluster_summary,0,82,cluster_0,14,0.9473684210526315,1.236842105263158,0.23684210526315788,0.7105263157894737,4.75
1,cluster_0,cluster_summary,0,82,all_valid,14,0.9473684210526315,1.236842105263158,0.23684210526315788,0.7105263157894737,4.75
1,cluster_6,cluster_summary,6,15,cluster_0,12,0.8157894736842105,1.1578947368421053,0.10526315789473684,0.7105263157894737,4.75
1,cluster_6,cluster_summary,6,15,all_valid,12,0.8157894736842105,1.1578947368421053,0.10526315789473684,0.7105263157894737,4.75
1,cluster_12,cluster_summary,12,12,cluster_0,14,0.8157894736842105,1.1842105263157894,0.02631578947368421,0.7894736842105263,4.75
1,cluster_12,cluster_summary,12,12,all_valid,14,0.8157894736842105,1.1842105263157894,0.02631578947368421,0.7894736842105263,4.75
1,cluster_8,cluster_summary,8,11,cluster_0,12,0.8421052631578947,1.1578947368421053,-0.05263157894736842,0.894736842105263,4.75
1,cluster_8,cluster_summary,8,11,all_valid,12,0.8421052631578947,1.1578947368421053,-0.05263157894736842,0.894736842105263,4.75
1,cluster_2,cluster_summary,2,9,cluster_0,12,0.9473684210526315,1.394736842105263,0.21052631578947367,0.7368421052631579,4.75
1,cluster_2,cluster_summary,2,9,all_valid,12,0.9473684210526315,1.394736842105263,0.21052631578947367,0.7368421052631579,4.75
1,cluster_1,cluster_summary,1,8,cluster_0,13,0.7894736842105263,1.105263157894737,0.13157894736842105,0.6578947368421053,4.75
1,cluster_1,cluster_summary,1,8,all_valid,13,0.7894736842105263,1.105263157894737,0.13157894736842105,0.6578947368421053,4.75
1,cluster_10,cluster_summary,10,8,cluster_0,14,0.8421052631578947,1.236842105263158,-0.42105263157894735,1.263157894736842,4.75
1,cluster_10,cluster_summary,10,8,all_valid,14,0.8421052631578947,1.236842105263158,-0.42105263157894735,1.263157894736842,4.75
1,global_core,global_aggregate,,8,cluster_0,8,0.8157894736842105,1.131578947368421,0.34210526315789475,0.47368421052631576,4.75
1,global_core,global_aggregate,,8,all_valid,8,0.8157894736842105,1.131578947368421,0.34210526315789475,0.47368421052631576,4.75
2,cluster_0,cluster_summary,0,82,cluster_0,14,0.9152542372881356,1.1694915254237288,0.05084745762711865,0.864406779661017,7.375
2,cluster_0,cluster_summary,0,82,all_valid,14,0.9152542372881356,1.1694915254237288,0.05084745762711865,0.864406779661017,7.375
2,cluster_6,cluster_summary,6,15,cluster_0,12,0.8135593220338984,1.0847457627118644,0.4067796610169492,0.4067796610169492,7.375
2,cluster_6,cluster_summary,6,15,all_valid,12,0.8135593220338984,1.0847457627118644,0.4067796610169492,0.4067796610169492,7.375
2,cluster_12,cluster_summary,12,12,cluster_0,14,0.864406779661017,1.152542372881356,0.1864406779661017,0.6779661016949152,7.375
2,cluster_12,cluster_summary,12,12,all_valid,14,0.864406779661017,1.152542372881356,0.1864406779661017,0.6779661016949152,7.375
2,cluster_8,cluster_summary,8,11,cluster_0,12,0.864406779661017,1.152542372881356,0.5084745762711864,0.35593220338983056,7.375
2,cluster_8,cluster_summary,8,11,all_valid,12,0.864406779661017,1.152542372881356,0.5084745762711864,0.35593220338983056,7.375
2,cluster_2,cluster_summary,2,9,cluster_0,12,0.9152542372881356,1.2372881355932204,-0.3898305084745763,1.305084745762712,7.375
2,cluster_2,cluster_summary,2,9,all_valid,12,0.9152542372881356,1.2372881355932204,-0.3898305084745763,1.305084745762712,7.375
2,cluster_1,cluster_summary,1,8,cluster_0,13,0.8135593220338984,1.0677966101694916,0.3898305084745763,0.42372881355932207,7.375
2,cluster_1,cluster_summary,1,8,all_valid,13,0.8135593220338984,1.0677966101694916,0.3898305084745763,0.42372881355932207,7.375
2,cluster_10,cluster_summary,10,8,cluster_0,14,0.8983050847457628,1.152542372881356,0.0847457627118644,0.8135593220338984,7.375
2,cluster_10,cluster_summary,10,8,all_valid,14,0.8983050847457628,1.152542372881356,0.0847457627118644,0.8135593220338984,7.375
2,global_core,global_aggregate,,8,cluster_0,8,0.8305084745762712,1.1016949152542372,-0.2033898305084746,1.0338983050847457,7.375
2,global_core,global_aggregate,,8,all_valid,8,0.8305084745762712,1.1016949152542372,-0.2033898305084746,1.0338983050847457,7.375
3,cluster_0,cluster_summary,0,82,cluster_0,14,0.8636363636363636,0.8484848484848485,0.5757575757575758,0.28787878787878785,8.25
3,cluster_0,cluster_summary,0,82,all_valid,14,0.8636363636363636,0.8484848484848485,0.5757575757575758,0.28787878787878785,8.25
3,cluster_6,cluster_summary,6,15,cluster_0,12,0.8181818181818182,0.8484848484848485,-0.07575757575757576,0.893939393939394,8.25
3,cluster_6,cluster_summary,6,15,all_valid,12,0.8181818181818182,0.8484848484848485,-0.07575757575757576,0.893939393939394,8.25
3,cluster_12,cluster_summary,12,12,cluster_0,14,0.8484848484848485,0.8636363636363636,0.5757575757575758,0.2727272727272727,8.25
3,cluster_12,cluster_summary,12,12,all_valid,14,0.8484848484848485,0.8636363636363636,0.5757575757575758,0.2727272727272727,8.25
3,cluster_8,cluster_summary,8,11,cluster_0,12,0.8333333333333334,0.8636363636363636,0.5606060606060606,0.2727272727272728,8.25
3,cluster_8,cluster_summary,8,11,all_valid,12,0.8333333333333334,0.8636363636363636,0.5606060606060606,0.2727272727272728,8.25
3,cluster_2,cluster_summary,2,9,cluster_0,12,0.8636363636363636,0.9393939393939394,0.19696969696969696,0.6666666666666667,8.25
3,cluster_2,cluster_summary,2,9,all_valid,12,0.8636363636363636,0.9393939393939394,0.19696969696969696,0.6666666666666667,8.25
3,cluster_1,cluster_summary,1,8,cluster_0,13,0.8333333333333334,0.8484848484848485,0.4090909090909091,0.42424242424242425,8.25
3,cluster_1,cluster_summary,1,8,all_valid,13,0.8333333333333334,0.8484848484848485,0.4090909090909091,0.42424242424242425,8.25
3,cluster_10,cluster_summary,10,8,cluster_0,14,0.8333333333333334,0.8333333333333334,0.06060606060606061,0.7727272727272727,8.25
3,cluster_10,cluster_summary,10,8,all_valid,14,0.8333333333333334,0.8333333333333334,0.06060606060606061,0.7727272727272727,8.25
3,global_core,global_aggregate,,8,cluster_0,8,0.8181818181818182,0.8333333333333334,0.3484848484848485,0.4696969696969697,8.25
3,global_core,global_aggregate,,8,all_valid,8,0.8181818181818182,0.8333333333333334,0.3484848484848485,0.4696969696969697,8.25
