run,source_mode,n_sources_total,n_cluster_sources,cluster_nodes_mean,cluster_nodes_min,cluster_nodes_max,cluster_jaccard_mean,cluster_jaccard_min,cluster_jaccard_max,cross_over_within_suff_mean,cross_over_within_suff_median,cross_over_within_delta_mean,cross_over_within_delta_median,overlap_corr_pearson_suff,overlap_corr_spearman_suff,overlap_corr_pearson_delta,overlap_corr_spearman_delta
best_cluster_summary_v2,cluster_summary,8,7,13.0,12.0,14.0,0.5607611173124221,0.4444444444444444,0.7857142857142857,0.9934102725353674,0.9852576433097676,1.022002370866408,0.995840357965727,0.10275790920747634,0.10439388074311853,0.02885555320085552,0.0675243193969842
best_compact_top4,compact_support,8,7,4.0,4.0,4.0,0.5210884353741496,0.14285714285714285,1.0,1.0323764551547208,0.9606465907260475,1.0304337698586652,1.032210186767583,-0.02116236866654295,-0.045601840347383994,-0.10827796422489641,-0.08366618642247312
best_compact_top2,compact_support,8,7,2.0,2.0,2.0,0.523809523809524,0.3333333333333333,1.0,1.0029324828060049,0.9641102279589691,0.9894617032739995,0.95772764799282,0.03798872262992253,0.030437659650117094,0.08189189127617888,0.0739200305788558
clusterth055_cluster_summary_v2,cluster_summary,6,5,14.0,14.0,14.0,0.5899656002751978,0.4,0.75,0.9961526003851451,1.0011832265064113,0.9000678646290793,0.9045068759955751,-0.1707156767026511,-0.12214096331049187,0.6692657013097314,0.6717752982077052
clusterth055_compact_top4,compact_support,5,4,4.0,4.0,4.0,1.0,1.0,1.0,1.0022209943096088,1.0026766720118188,1.0712692022316628,1.1192427032412997,nan,nan,nan,nan
