source,within_suff_median,cross_suff_median_mean,cross_over_within_suff,within_delta_median,cross_delta_median_mean,cross_over_within_delta
cluster_2,0.972972972972973,0.9477972611395792,0.9741249628379007,0.7355212355212355,0.6081491607807397,0.8268274679381186
cluster_10,0.9041095890410958,0.9113265637392255,1.0079824114085374,0.6785714285714286,0.6019799857263745,0.8871284000178149
cluster_0,0.9611842105263158,0.955786239989382,0.9943840416042852,0.7210160660008684,0.6646941497836402,0.9218853519733353
cluster_1,0.9651423089222897,0.9729782855171054,1.0081189856898571,0.6384615384615384,0.6157516138671154,0.9644302385870483
