split_id,seed,n_train,n_test,core_size,jaccard_vs_full_core,test_suff_median,test_nec_median,test_min_median,test_harmonic_median,test_rand_suff_mean_median,test_global_minus_random_median
0,1901,96,43,11,0.9090909090909091,0.94,0.9659090909090909,0.9322033898305084,0.9569521523923804,0.11428571428571428,0.8257142857142856
1,2901,96,43,12,0.8333333333333334,0.9523809523809523,0.96875,0.9523809523809523,0.9635135135135136,0.12857142857142856,0.8238095238095238
2,3901,96,43,11,0.9090909090909091,0.9178082191780822,0.9433962264150944,0.9154929577464789,0.9246067985794014,0.14339622641509436,0.7744119927629878
3,4901,96,43,11,0.9090909090909091,0.9230769230769231,0.9659090909090909,0.9230769230769231,0.9428571428571428,0.08,0.8430769230769232
4,5901,96,43,10,0.8181818181818182,0.9436619718309859,0.9672131147540983,0.9431818181818182,0.9544101731601732,0.07619047619047618,0.8674714956405097
5,6901,96,43,12,0.8333333333333334,0.9672131147540983,0.9761904761904762,0.9672131147540983,0.9694602272727273,0.12340425531914893,0.8438088594349494
6,7901,96,43,10,0.8181818181818182,0.9090909090909091,0.9436619718309859,0.9090909090909091,0.925132402503611,0.1211267605633803,0.7879641485275287
7,8901,96,43,11,0.9090909090909091,0.9310344827586207,0.9545454545454546,0.9230769230769231,0.9410029498525073,0.1255813953488372,0.8054530874097835
