source,source_build_mode,source_cluster_id,source_cluster_size,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_2,compact_support,2,12,cluster_2,12,4,0.9492753623188406,0.9569236702085006,1.0693866943866945,1.0488524873211065,0.13339920948616601,0.8618524332810047,0.8576831542931811,1.0,1.0
cluster_2,compact_support,2,12,cluster_10,11,4,0.8829787234042553,0.8764879914190047,0.8666666666666667,1.0174010684012464,0.13333333333333333,0.7833333333333333,0.7709828136351469,0.9301607925937957,0.9088949605343049
cluster_2,compact_support,2,12,cluster_0,10,4,0.925033921302578,0.9149508797926549,1.2317753749564004,1.1695177411016167,0.02040816326530612,0.8773837403813984,0.8852199687610828,0.9744632148072959,1.0180208426647557
cluster_2,compact_support,2,12,cluster_1,8,4,0.8472027972027972,0.8494364578410405,0.9501748251748252,1.014247754930474,0.17895500725689406,0.648951048951049,0.7433012843616469,0.8924731756792826,0.7529723464149695
cluster_2,compact_support,2,12,all_valid,139,4,0.9259259259259259,0.9684345418811926,1.0172413793103448,1.0638224361783233,0.11504424778761062,0.8260869565217391,0.8507764306723922,0.9754028837998304,0.9585016235051873
cluster_10,compact_support,10,11,cluster_2,12,4,0.9492753623188406,0.9569236702085006,1.0693866943866945,1.0488524873211065,0.20546984572230015,0.7296657793552204,0.7631523739056129,1.0750829404574822,1.0050113564703977
cluster_10,compact_support,10,11,cluster_10,11,4,0.8829787234042553,0.8764879914190047,0.8666666666666667,1.0174010684012464,0.11666666666666667,0.726027397260274,0.7553392204917284,1.0,1.0
cluster_10,compact_support,10,11,cluster_0,10,4,0.925033921302578,0.9149508797926549,1.2317753749564004,1.1695177411016167,0.03951553706875459,0.8796443315338203,0.8945299766670409,1.0476287783426788,1.211585588716394
cluster_10,compact_support,10,11,cluster_1,8,4,0.8472027972027972,0.8494364578410405,0.9501748251748252,1.014247754930474,-0.05272727272727273,0.8938461538461537,0.8373942306964735,0.9594826859887101,1.2311465892597966
cluster_10,compact_support,10,11,all_valid,139,4,0.9259259259259259,0.9684345418811926,1.0172413793103448,1.0638224361783233,0.13043478260869565,0.8166666666666667,0.8524442540901441,1.0486390004462294,1.1248427672955974
cluster_0,compact_support,0,10,cluster_2,12,4,0.9492753623188406,0.9569236702085006,1.0693866943866945,1.0488524873211065,0.05805860805860806,0.9807692307692307,0.9018514304924535,1.0262060022427364,1.2677710078700177
cluster_0,compact_support,0,10,cluster_10,11,4,0.8829787234042553,0.8764879914190047,0.8666666666666667,1.0174010684012464,0.08955223880597014,0.7547169811320754,0.7915056257838807,0.9545365884106142,0.9755692550387114
cluster_0,compact_support,0,10,cluster_0,10,4,0.925033921302578,0.9149508797926549,1.2317753749564004,1.1695177411016167,0.059818625741192885,0.7736170212765957,0.8526987913650365,1.0,1.0
cluster_0,compact_support,0,10,cluster_1,8,4,0.8472027972027972,0.8494364578410405,0.9501748251748252,1.014247754930474,0.08136363636363637,0.7604545454545455,0.7214843865574083,0.9158613297227159,0.9829857985798581
cluster_0,compact_support,0,10,all_valid,139,4,0.9259259259259259,0.9684345418811926,1.0172413793103448,1.0638224361783233,0.10256410256410256,0.8354430379746836,0.8407827902053107,1.0009642939602603,1.079918118394118
cluster_1,compact_support,1,8,cluster_2,12,4,0.6639784946236559,0.6854436074718615,0.5802277432712215,0.5530033990466283,0.06620553359683795,0.5573426573426574,0.658812167939059,1.0067213564245643,1.0680900279042445
cluster_1,compact_support,1,8,cluster_10,11,4,0.6607142857142857,0.6426462132580238,0.5531914893617021,0.5740867960264739,0.08333333333333333,0.5774647887323944,0.5446683542804519,1.0017721768238652,1.1066520284875652
cluster_1,compact_support,1,8,cluster_0,10,4,0.6661532537543319,0.6510647127801773,0.648936170212766,0.6576046246205892,0.009433962264150943,0.6918908069048575,0.6873087724124087,1.010018716925934,1.325937753943275
cluster_1,compact_support,1,8,cluster_1,8,4,0.6595454545454545,0.6354642289591812,0.5769230769230769,0.5884317294331762,0.09090909090909091,0.5218124341412013,0.4949383191194076,1.0,1.0
cluster_1,compact_support,1,8,all_valid,139,4,0.6612903225806451,0.6638640725479279,0.5306122448979592,0.5354232927980184,0.09523809523809523,0.5681818181818182,0.5648711343754013,1.0026455614592829,1.0888621677191952
global_core,global_aggregate,,10,cluster_2,12,10,0.8804347826086956,0.9191644765815797,0.8702664796633941,0.8994572272270078,0.3889578163771712,0.43878900052882075,0.6124258726702237,nan,nan
global_core,global_aggregate,,10,cluster_10,11,10,0.9315068493150684,0.9263081977026296,0.9402985074626866,1.0273503355787974,0.25,0.7169811320754716,0.7857928964714183,nan,nan
global_core,global_aggregate,,10,cluster_0,10,10,0.8297773654916512,0.8482209224315621,0.9374728614850196,0.996769654616727,0.21748400852878463,0.6387499999999999,0.6466658004897963,nan,nan
global_core,global_aggregate,,10,cluster_1,8,10,0.8553846153846154,0.8517164261160816,1.0019296740994854,0.9678770566241763,0.3225554106910039,0.5697854742827604,0.6327244591242043,nan,nan
global_core,global_aggregate,,10,all_valid,139,10,0.9090909090909091,0.9312348060988033,0.9387755102040817,0.9409527647212594,0.2727272727272727,0.6708860759493671,0.6814253845333189,nan,nan
