mode,q_index,group,n_nodes,gap_aug,full_suff_ratio,full_nec_ratio,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,drop_full_suff,drop_full_nec
orig,1,full_core,10,4.75,0.9210526315789473,1.0263157894736843,0.9210526315789473,1.0263157894736843,nan,nan,nan,nan
orig,1,stable_necessary_backbone,4,4.75,0.9210526315789473,1.0263157894736843,0.9736842105263158,1.394736842105263,0.6578947368421053,0.7894736842105263,0.26315789473684204,0.23684210526315796
orig,1,stable_but_weak_or_redundant,4,4.75,0.9210526315789473,1.0263157894736843,0.5789473684210527,0.6052631578947368,0.9210526315789473,1.2105263157894737,0.0,-0.18421052631578938
orig,1,all_heads,6,4.75,0.9210526315789473,1.0263157894736843,1.0789473684210527,1.263157894736842,0.5,0.6578947368421053,0.42105263157894735,0.368421052631579
orig,1,all_mlps,4,4.75,0.9210526315789473,1.0263157894736843,0.5,0.6578947368421053,1.0789473684210527,1.263157894736842,-0.1578947368421053,-0.23684210526315774
orig,2,full_core,10,7.625,0.9180327868852459,0.9508196721311475,0.9180327868852459,0.9508196721311475,nan,nan,nan,nan
orig,2,stable_necessary_backbone,4,7.625,0.9180327868852459,0.9508196721311475,0.9344262295081968,1.0491803278688525,0.6721311475409836,0.6065573770491803,0.24590163934426235,0.34426229508196715
orig,2,stable_but_weak_or_redundant,4,7.625,0.9180327868852459,0.9508196721311475,0.6721311475409836,0.5901639344262295,0.9180327868852459,0.9180327868852459,0.0,0.032786885245901565
orig,2,all_heads,6,7.625,0.9180327868852459,0.9508196721311475,1.0,1.098360655737705,0.5573770491803278,0.4262295081967213,0.3606557377049181,0.5245901639344261
orig,2,all_mlps,4,7.625,0.9180327868852459,0.9508196721311475,0.5573770491803278,0.4262295081967213,1.0,1.098360655737705,-0.08196721311475408,-0.14754098360655754
orig,3,full_core,10,6.5,0.9038461538461539,0.9230769230769231,0.9038461538461539,0.9230769230769231,nan,nan,nan,nan
orig,3,stable_necessary_backbone,4,6.5,0.9038461538461539,0.9230769230769231,0.9615384615384616,1.0384615384615385,0.6923076923076923,0.6538461538461539,0.21153846153846156,0.2692307692307693
orig,3,stable_but_weak_or_redundant,4,6.5,0.9038461538461539,0.9230769230769231,0.6923076923076923,0.6346153846153846,0.9230769230769231,1.0,-0.019230769230769273,-0.07692307692307687
orig,3,all_heads,6,6.5,0.9038461538461539,0.9230769230769231,1.0384615384615385,1.1346153846153846,0.5,0.46153846153846156,0.40384615384615385,0.46153846153846156
orig,3,all_mlps,4,6.5,0.9038461538461539,0.9230769230769231,0.5,0.46153846153846156,1.0384615384615385,1.1346153846153846,-0.1346153846153847,-0.21153846153846145
orig,4,full_core,10,6.125,0.8163265306122449,0.8979591836734694,0.8163265306122449,0.8979591836734694,nan,nan,nan,nan
orig,4,stable_necessary_backbone,4,6.125,0.8163265306122449,0.8979591836734694,0.7755102040816326,0.8571428571428571,0.6326530612244898,0.6122448979591837,0.18367346938775508,0.2857142857142857
orig,4,stable_but_weak_or_redundant,4,6.125,0.8163265306122449,0.8979591836734694,0.6326530612244898,0.5918367346938775,0.7551020408163265,0.7959183673469388,0.061224489795918435,0.10204081632653061
orig,4,all_heads,6,6.125,0.8163265306122449,0.8979591836734694,0.8979591836734694,1.0,0.4897959183673469,0.4897959183673469,0.326530612244898,0.40816326530612246
orig,4,all_mlps,4,6.125,0.8163265306122449,0.8979591836734694,0.4897959183673469,0.4897959183673469,0.8979591836734694,1.0,-0.08163265306122447,-0.10204081632653061
orig,5,full_core,10,11.0,0.9090909090909091,0.9431818181818182,0.9090909090909091,0.9431818181818182,nan,nan,nan,nan
orig,5,stable_necessary_backbone,4,11.0,0.9090909090909091,0.9431818181818182,0.8295454545454546,0.8409090909090909,0.75,0.7272727272727273,0.15909090909090906,0.21590909090909094
orig,5,stable_but_weak_or_redundant,4,11.0,0.9090909090909091,0.9431818181818182,0.6931818181818182,0.6136363636363636,0.8977272727272727,0.8977272727272727,0.011363636363636354,0.045454545454545525
orig,5,all_heads,6,11.0,0.9090909090909091,0.9431818181818182,0.9318181818181818,0.9886363636363636,0.6363636363636364,0.5454545454545454,0.2727272727272727,0.3977272727272728
orig,5,all_mlps,4,11.0,0.9090909090909091,0.9431818181818182,0.6363636363636364,0.5454545454545454,0.9318181818181818,0.9886363636363636,-0.022727272727272707,-0.045454545454545414
orig,6,full_core,10,4.625,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,nan,nan,nan,nan
orig,6,stable_necessary_backbone,4,4.625,0.8108108108108109,0.8108108108108109,0.7837837837837838,0.8648648648648649,0.5405405405405406,0.4594594594594595,0.2702702702702703,0.35135135135135137
orig,6,stable_but_weak_or_redundant,4,4.625,0.8108108108108109,0.8108108108108109,0.4864864864864865,0.4594594594594595,0.8108108108108109,0.8108108108108109,0.0,0.0
orig,6,all_heads,6,4.625,0.8108108108108109,0.8108108108108109,0.918918918918919,1.0810810810810811,0.40540540540540543,0.35135135135135137,0.40540540540540543,0.4594594594594595
orig,6,all_mlps,4,4.625,0.8108108108108109,0.8108108108108109,0.40540540540540543,0.35135135135135137,0.918918918918919,1.0810810810810811,-0.10810810810810811,-0.2702702702702703
orig,7,full_core,10,6.25,0.88,0.9,0.88,0.9,nan,nan,nan,nan
orig,7,stable_necessary_backbone,4,6.25,0.88,0.9,0.74,0.74,0.66,0.6,0.21999999999999997,0.30000000000000004
orig,7,stable_but_weak_or_redundant,4,6.25,0.88,0.9,0.6,0.5,0.82,0.78,0.06000000000000005,0.12
orig,7,all_heads,6,6.25,0.88,0.9,0.9,0.94,0.56,0.5,0.31999999999999995,0.4
orig,7,all_mlps,4,6.25,0.88,0.9,0.56,0.5,0.9,0.94,-0.020000000000000018,-0.039999999999999925
orig,8,full_core,10,9.875,1.0253164556962024,1.0126582278481013,1.0253164556962024,1.0126582278481013,nan,nan,nan,nan
orig,8,stable_necessary_backbone,4,9.875,1.0253164556962024,1.0126582278481013,0.9367088607594937,1.0379746835443038,0.8734177215189873,0.810126582278481,0.1518987341772151,0.20253164556962033
orig,8,stable_but_weak_or_redundant,4,9.875,1.0253164556962024,1.0126582278481013,0.7974683544303798,0.6962025316455697,1.0253164556962024,1.0506329113924051,0.0,-0.03797468354430378
orig,8,all_heads,6,9.875,1.0253164556962024,1.0126582278481013,0.9873417721518988,1.0253164556962024,0.7215189873417721,0.6075949367088608,0.30379746835443033,0.40506329113924056
orig,8,all_mlps,4,9.875,1.0253164556962024,1.0126582278481013,0.7215189873417721,0.6075949367088608,0.9873417721518988,1.0253164556962024,0.03797468354430367,-0.012658227848101111
orig,9,full_core,10,6.0,0.9375,0.9166666666666666,0.9375,0.9166666666666666,nan,nan,nan,nan
orig,9,stable_necessary_backbone,4,6.0,0.9375,0.9166666666666666,0.8958333333333334,0.7916666666666666,0.6458333333333334,0.5416666666666666,0.29166666666666663,0.375
orig,9,stable_but_weak_or_redundant,4,6.0,0.9375,0.9166666666666666,0.6041666666666666,0.5,0.9166666666666666,0.7916666666666666,0.02083333333333337,0.125
orig,9,all_heads,6,6.0,0.9375,0.9166666666666666,0.9791666666666666,0.9583333333333334,0.5625,0.4166666666666667,0.375,0.49999999999999994
orig,9,all_mlps,4,6.0,0.9375,0.9166666666666666,0.5625,0.4166666666666667,0.9791666666666666,0.9583333333333334,-0.04166666666666663,-0.04166666666666674
orig,10,full_core,10,5.875,0.851063829787234,0.8297872340425532,0.851063829787234,0.8297872340425532,nan,nan,nan,nan
orig,10,stable_necessary_backbone,4,5.875,0.851063829787234,0.8297872340425532,0.8085106382978723,0.9787234042553191,0.6170212765957447,0.48936170212765956,0.23404255319148937,0.3404255319148936
orig,10,stable_but_weak_or_redundant,4,5.875,0.851063829787234,0.8297872340425532,0.5319148936170213,0.46808510638297873,0.8936170212765957,0.8723404255319149,-0.04255319148936165,-0.042553191489361764
orig,10,all_heads,6,5.875,0.851063829787234,0.8297872340425532,0.9361702127659575,1.0851063829787233,0.5319148936170213,0.3829787234042553,0.3191489361702128,0.44680851063829785
orig,10,all_mlps,4,5.875,0.851063829787234,0.8297872340425532,0.5319148936170213,0.3829787234042553,0.9361702127659575,1.0851063829787233,-0.08510638297872342,-0.25531914893617014
orig,11,full_core,10,7.375,0.9152542372881356,0.8813559322033898,0.9152542372881356,0.8813559322033898,nan,nan,nan,nan
